search_term,uid,accession,title,gds_type,taxon,url
skeletal muscle single-cell RNA sequencing aging,200291091,GSE291091,MSC-dependent intercellular communication: an interactome for skeletal muscle homeostasis and regeneration,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291091
skeletal muscle single-cell RNA sequencing aging,200295428,GSE295428,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295428
skeletal muscle single-cell RNA sequencing aging,200309190,GSE309190,CD94/NKG2A-Qa-1b Axis as a Key Modulator of Vaccine Responsiveness in Aging Populations,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309190
skeletal muscle single-cell RNA sequencing aging,200291156,GSE291156,Satellite Cells Choreograph an Immune Cell-Fibrogenic Cell Circuit During Mechanical Loading in Geriatric Skeletal Muscle,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291156
skeletal muscle single-cell RNA sequencing aging,200241675,GSE241675,Single-cell transcriptomic analysis reveals alterations to cellular dynamics and paracrine signalling in radiation-induced muscle pathology,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241675
skeletal muscle single-cell RNA sequencing aging,200254476,GSE254476,"Non-senescent, conventional marker-negative geriatric muscle stem cells identified by new CD63/CD200 markers [scRNA-seq]",Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254476
skeletal muscle single-cell RNA sequencing aging,200279741,GSE279741,The immune landscape of murine skeletal muscle regeneration and aging,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279741
skeletal muscle single-cell RNA sequencing aging,200263816,GSE263816,Cell type-specific weighting-factors to solve solid organs-specific limitations of single cell RNA-sequencing,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263816
skeletal muscle single-cell RNA sequencing aging,200263619,GSE263619,Hydrogel biomaterials that stiffen and soften on demand reveal that skeletal muscle stem cells harbor a mechanical memory,Expression profiling by high throughput sequencing,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263619
skeletal muscle single-cell RNA sequencing aging,200196554,GSE196554,Single cell RNA sequencing of human muscle stem cells in aging,Expression profiling by high throughput sequencing,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196554
