dataset_id,module,n_genes,n_present,present_genes
GSE25941,DA_FAP,24,24,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
GSE25941,adipogenic,7,7,PPARG;CEBPA;FABP4;LPL;ADIPOQ;PLIN1;CD36
GSE25941,fibrotic_ecm,9,9,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
GSE25941,inflammatory_remodeling,10,10,IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
GSE25941,PPARG_like,5,5,PPARG;CEBPA;FABP4;LPL;CD36
GSE25941,SMAD3_TGFB,8,8,SMAD3;TGFB1;TGFBR1;TGFBR2;COL1A1;COL3A1;FN1;SERPINE1
GSE25941,STAT3_IL6,6,6,STAT3;IL6;IL6R;IL6ST;SOCS3;JUNB
GSE25941,myogenesis,8,8,PAX7;MYOD1;MYOG;MYH1;MYH2;MYH7;ACTA1;DES
GSE25941,OXPHOS_mito,7,6,NDUFA1;NDUFB8;COX4I1;COX5A;UQCRC1;SDHB
GSE38718,DA_FAP,24,24,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
GSE38718,adipogenic,7,7,PPARG;CEBPA;FABP4;LPL;ADIPOQ;PLIN1;CD36
GSE38718,fibrotic_ecm,9,9,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
GSE38718,inflammatory_remodeling,10,10,IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
GSE38718,PPARG_like,5,5,PPARG;CEBPA;FABP4;LPL;CD36
GSE38718,SMAD3_TGFB,8,8,SMAD3;TGFB1;TGFBR1;TGFBR2;COL1A1;COL3A1;FN1;SERPINE1
GSE38718,STAT3_IL6,6,6,STAT3;IL6;IL6R;IL6ST;SOCS3;JUNB
GSE38718,myogenesis,8,8,PAX7;MYOD1;MYOG;MYH1;MYH2;MYH7;ACTA1;DES
GSE38718,OXPHOS_mito,7,6,NDUFA1;NDUFB8;COX4I1;COX5A;UQCRC1;SDHB
GSE111006,DA_FAP,24,22,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;MMP2;MMP14;TIMP1
GSE111006,adipogenic,7,7,PPARG;CEBPA;FABP4;LPL;ADIPOQ;PLIN1;CD36
GSE111006,fibrotic_ecm,9,9,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
GSE111006,inflammatory_remodeling,10,8,CCL2;CXCL12;CXCL14;ICAM1;VCAM1;MMP2;MMP14;TIMP1
GSE111006,PPARG_like,5,5,PPARG;CEBPA;FABP4;LPL;CD36
GSE111006,SMAD3_TGFB,8,8,SMAD3;TGFB1;TGFBR1;TGFBR2;COL1A1;COL3A1;FN1;SERPINE1
GSE111006,STAT3_IL6,6,5,STAT3;IL6R;IL6ST;SOCS3;JUNB
GSE111006,myogenesis,8,8,PAX7;MYOD1;MYOG;MYH1;MYH2;MYH7;ACTA1;DES
GSE111006,OXPHOS_mito,7,6,NDUFA1;NDUFB8;COX4I1;COX5A;UQCRC1;SDHB
GSE111010,DA_FAP,24,22,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;MMP2;MMP14;TIMP1
GSE111010,adipogenic,7,7,PPARG;CEBPA;FABP4;LPL;ADIPOQ;PLIN1;CD36
GSE111010,fibrotic_ecm,9,9,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
GSE111010,inflammatory_remodeling,10,8,CCL2;CXCL12;CXCL14;ICAM1;VCAM1;MMP2;MMP14;TIMP1
GSE111010,PPARG_like,5,5,PPARG;CEBPA;FABP4;LPL;CD36
GSE111010,SMAD3_TGFB,8,8,SMAD3;TGFB1;TGFBR1;TGFBR2;COL1A1;COL3A1;FN1;SERPINE1
GSE111010,STAT3_IL6,6,5,STAT3;IL6R;IL6ST;SOCS3;JUNB
GSE111010,myogenesis,8,8,PAX7;MYOD1;MYOG;MYH1;MYH2;MYH7;ACTA1;DES
GSE111010,OXPHOS_mito,7,6,NDUFA1;NDUFB8;COX4I1;COX5A;UQCRC1;SDHB
GSE111016,DA_FAP,24,22,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;MMP2;MMP14;TIMP1
GSE111016,adipogenic,7,7,PPARG;CEBPA;FABP4;LPL;ADIPOQ;PLIN1;CD36
GSE111016,fibrotic_ecm,9,9,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
GSE111016,inflammatory_remodeling,10,8,CCL2;CXCL12;CXCL14;ICAM1;VCAM1;MMP2;MMP14;TIMP1
GSE111016,PPARG_like,5,5,PPARG;CEBPA;FABP4;LPL;CD36
GSE111016,SMAD3_TGFB,8,8,SMAD3;TGFB1;TGFBR1;TGFBR2;COL1A1;COL3A1;FN1;SERPINE1
GSE111016,STAT3_IL6,6,5,STAT3;IL6R;IL6ST;SOCS3;JUNB
GSE111016,myogenesis,8,8,PAX7;MYOD1;MYOG;MYH1;MYH2;MYH7;ACTA1;DES
GSE111016,OXPHOS_mito,7,6,NDUFA1;NDUFB8;COX4I1;COX5A;UQCRC1;SDHB
GSE254300,DA_FAP,24,24,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
GSE254300,adipogenic,7,7,PPARG;CEBPA;FABP4;LPL;ADIPOQ;PLIN1;CD36
GSE254300,fibrotic_ecm,9,9,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
GSE254300,inflammatory_remodeling,10,10,IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
GSE254300,PPARG_like,5,5,PPARG;CEBPA;FABP4;LPL;CD36
GSE254300,SMAD3_TGFB,8,8,SMAD3;TGFB1;TGFBR1;TGFBR2;COL1A1;COL3A1;FN1;SERPINE1
GSE254300,STAT3_IL6,6,6,STAT3;IL6;IL6R;IL6ST;SOCS3;JUNB
GSE254300,myogenesis,8,8,PAX7;MYOD1;MYOG;MYH1;MYH2;MYH7;ACTA1;DES
GSE254300,OXPHOS_mito,7,7,NDUFA1;NDUFB8;COX4I1;COX5A;ATP5F1A;UQCRC1;SDHB
