dataset_id,major_cell_type,n_cells,fraction
CELLxGENE_E-MTAB-13874_human_ageing,adipocyte,86,0.0021010456366656895
CELLxGENE_E-MTAB-13874_human_ageing,b_cell,1977,0.04829961888009381
CELLxGENE_E-MTAB-13874_human_ageing,endothelial,28,0.0006840613700772012
CELLxGENE_E-MTAB-13874_human_ageing,fap_stromal,19274,0.47087853024528487
CELLxGENE_E-MTAB-13874_human_ageing,macrophage_monocyte,7973,0.19478647512948305
CELLxGENE_E-MTAB-13874_human_ageing,myonuclei_muscle_fiber,33,0.0008062151861624157
CELLxGENE_E-MTAB-13874_human_ageing,satellite_cell,31,0.0007573536597283299
CELLxGENE_E-MTAB-13874_human_ageing,schwann_cell,1016,0.024821655428515586
CELLxGENE_E-MTAB-13874_human_ageing,smooth_muscle_pericyte,603,0.014731750219876869
CELLxGENE_E-MTAB-13874_human_ageing,t_cell,8887,0.21711619270986027
CELLxGENE_E-MTAB-13874_human_ageing,unassigned,1024,0.02501710153425193
GSE130646,adipocyte,1253,0.4356745479833102
GSE130646,b_cell,27,0.009388038942976356
GSE130646,endothelial,214,0.07440890125173853
GSE130646,fap_stromal,557,0.19367176634214187
GSE130646,macrophage_monocyte,100,0.03477051460361613
GSE130646,myonuclei_muscle_fiber,4,0.0013908205841446453
GSE130646,satellite_cell,241,0.08379694019471488
GSE130646,schwann_cell,31,0.010778859527121001
GSE130646,smooth_muscle_pericyte,275,0.09561891515994436
GSE130646,t_cell,120,0.04172461752433936
GSE130646,unassigned,54,0.018776077885952713
GSE143704,adipocyte,4095,0.18588288697231048
GSE143704,b_cell,81,0.0036768043576940537
GSE143704,endothelial,1191,0.05406264185201997
GSE143704,fap_stromal,9796,0.44466636404902404
GSE143704,macrophage_monocyte,1636,0.07426236949614162
GSE143704,myonuclei_muscle_fiber,217,0.00985020426690876
GSE143704,satellite_cell,2168,0.09841125737630504
GSE143704,schwann_cell,76,0.0034498411257376303
GSE143704,smooth_muscle_pericyte,1597,0.07249205628688153
GSE143704,t_cell,1102,0.05002269632319564
GSE143704,unassigned,71,0.0032228778937812073
GSE167186_snRNA,adipocyte,436,0.007830178513702813
GSE167186_snRNA,b_cell,2,3.591825006285694e-05
GSE167186_snRNA,endothelial,138,0.002478359254337129
GSE167186_snRNA,fap_stromal,438,0.00786609676376567
GSE167186_snRNA,macrophage_monocyte,11,0.00019755037534571315
GSE167186_snRNA,myonuclei_muscle_fiber,53823,0.9666139865665745
GSE167186_snRNA,satellite_cell,97,0.0017420351280485614
GSE167186_snRNA,schwann_cell,3,5.3877375094285404e-05
GSE167186_snRNA,smooth_muscle_pericyte,471,0.008458747889802809
GSE167186_snRNA,t_cell,7,0.0001257138752199993
GSE167186_snRNA,unassigned,256,0.004597536008045688
