dataset_id,fap_subtype,n_cells,fraction
CELLxGENE_E-MTAB-13874_human_ageing,DA-FAP,1751,0.09084777420359033
CELLxGENE_E-MTAB-13874_human_ageing,ECM-remodeling FAP,1477,0.07663173186676352
CELLxGENE_E-MTAB-13874_human_ageing,adipogenic FAP,7321,0.37983812389747845
CELLxGENE_E-MTAB-13874_human_ageing,homeostatic FAP,1364,0.07076891148697728
CELLxGENE_E-MTAB-13874_human_ageing,inflammatory FAP,7361,0.38191345854519043
GSE130646,DA-FAP,202,0.362657091561939
GSE130646,ECM-remodeling FAP,35,0.06283662477558348
GSE130646,adipogenic FAP,150,0.26929982046678635
GSE130646,homeostatic FAP,96,0.17235188509874327
GSE130646,inflammatory FAP,74,0.13285457809694792
GSE143704,DA-FAP,3790,0.3868926092282564
GSE143704,ECM-remodeling FAP,27,0.0027562270314414046
GSE143704,adipogenic FAP,347,0.03542262147815435
GSE143704,homeostatic FAP,5456,0.5569620253164557
GSE143704,inflammatory FAP,176,0.01796651694569212
GSE167186_snRNA,DA-FAP,309,0.7054794520547946
GSE167186_snRNA,adipogenic FAP,11,0.02511415525114155
GSE167186_snRNA,homeostatic FAP,118,0.2694063926940639
