fap_subtype,rank,gene,score,logfoldchange,pvals_adj
DA-FAP,1,COL1A2,67.440796,,0.0
DA-FAP,2,COL6A2,62.80916,,0.0
DA-FAP,3,COL3A1,61.454105,,0.0
DA-FAP,4,COL1A1,59.66041,,0.0
DA-FAP,5,LUM,49.666065,,0.0
DA-FAP,6,SFRP4,46.594322,,0.0
DA-FAP,7,CCDC80,46.346535,,0.0
DA-FAP,8,CCL2,45.516747,,0.0
DA-FAP,9,COL6A1,44.54582,,0.0
DA-FAP,10,SPARC,44.414474,,0.0
DA-FAP,11,MT-CO1,44.358665,,0.0
DA-FAP,12,MGP,43.33451,,0.0
DA-FAP,13,CXCL2,42.92638,,0.0
DA-FAP,14,ASPN,42.746258,,0.0
DA-FAP,15,DCN,39.63077,,0.0
DA-FAP,16,TMSB10,38.136013,,0.0
DA-FAP,17,LMNA,38.06035,,0.0
DA-FAP,18,LGALS1,37.89541,,0.0
DA-FAP,19,OGN,37.036644,,2.017728153233944e-298
DA-FAP,20,MT-ND4,36.977806,,1.7435090296206575e-297
DA-FAP,21,CST3,36.696682,,5.288332141844055e-293
DA-FAP,22,FOSB,35.178963,,2.1791838516406334e-269
DA-FAP,23,SFRP2,34.897873,,4.0213366287659436e-265
DA-FAP,24,CRABP2,34.70434,,3.240264515287348e-262
DA-FAP,25,MT-CO2,34.702198,,3.383309947574617e-262
DA-FAP,26,MT2A,34.700348,,3.5534007375717815e-262
DA-FAP,27,GSN,33.39,,7.693311322402821e-243
DA-FAP,28,ICAM1,32.728363,,2.239657088324588e-233
DA-FAP,29,RPL41,32.707764,,4.344519727196901e-233
DA-FAP,30,TNFAIP6,32.480465,,7.051854090614526e-230
DA-FAP,31,MT-ATP6,32.137596,,4.35836804492982e-225
DA-FAP,32,IL6,32.122406,,7.026563082666177e-225
DA-FAP,33,B2M,32.113945,,9.124163064875658e-225
DA-FAP,34,THY1,32.108955,,1.0598351285190105e-224
DA-FAP,35,NAMPT,31.9458,,1.9392855362763328e-222
DA-FAP,36,TMSB4X,30.794134,,8.759820240249728e-207
DA-FAP,37,KDM6B,30.64529,,8.214642473897483e-205
DA-FAP,38,NEAT1,30.588821,,4.5555024839078686e-204
DA-FAP,39,S100A4,30.536745,,2.2027620707189866e-203
DA-FAP,40,JUNB,30.49673,,7.414926958262965e-203
DA-FAP,41,IER3,29.689644,,2.478484067167602e-192
DA-FAP,42,MT-CYB,29.270247,,5.707172839814329e-187
DA-FAP,43,HSPG2,29.047787,,3.74602943287073e-184
DA-FAP,44,MXRA5,28.87319,,5.873145804368421e-182
DA-FAP,45,ABL2,28.473135,,5.584137313741824e-177
DA-FAP,46,SOCS3,28.19399,,1.491179106665534e-173
DA-FAP,47,IGF2,28.16547,,3.3107223316896125e-173
DA-FAP,48,IRF1,28.006613,,2.824197634460572e-171
DA-FAP,49,RUNX1,27.884398,,8.571681475731728e-170
DA-FAP,50,PLAUR,27.443172,,1.6948573232303777e-164
DA-FAP,51,FN1,27.03888,,9.905951331406298e-160
DA-FAP,52,ZFP36,26.975584,,5.417600055145078e-159
DA-FAP,53,TNXB,26.44256,,8.113916264852068e-153
DA-FAP,54,PRSS23,26.240025,,1.6760974275542284e-150
DA-FAP,55,GADD45B,26.083817,,9.805157721983891e-149
DA-FAP,56,TPM2,25.802309,,1.4382054938563192e-145
DA-FAP,57,CILP,25.751024,,5.374489019602815e-145
DA-FAP,58,GPRC5A,25.746511,,6.00364409061141e-145
DA-FAP,59,MT-ND1,25.161253,,1.7148809415492648e-138
DA-FAP,60,EIF1,25.140934,,2.845859287998451e-138
DA-FAP,61,ADAMTS4,24.875172,,2.1794111373233905e-135
DA-FAP,62,RPL21,24.800318,,1.3743149708971559e-134
DA-FAP,63,ELN,24.579872,,3.171769157245573e-132
DA-FAP,64,RGCC,24.574614,,3.591952145300196e-132
DA-FAP,65,ABI3BP,23.793707,,5.787924371756356e-124
DA-FAP,66,DPT,23.749846,,1.6368243869539668e-123
DA-FAP,67,COL15A1,23.636581,,2.3607531834715867e-122
DA-FAP,68,S100A10,23.096199,,7.019689090248806e-117
DA-FAP,69,GEM,22.974781,,1.1308166634978636e-115
DA-FAP,70,MT-ND3,22.923689,,3.644386246221439e-115
DA-FAP,71,COL14A1,22.766846,,1.3029657043420224e-113
DA-FAP,72,BHLHE40,22.21492,,3.1327452692820927e-108
DA-FAP,73,HAS1,22.113876,,2.942425374569999e-107
DA-FAP,74,CRIP1,22.056252,,1.0488402223945501e-106
DA-FAP,75,EMP1,22.028313,,1.9359784445092672e-106
DA-FAP,76,PLAU,21.986784,,4.797750111579428e-106
DA-FAP,77,RPL13,21.86034,,7.685008710355759e-105
DA-FAP,78,JUND,21.62419,,1.3081559955039365e-102
DA-FAP,79,CTHRC1,21.510988,,1.4986646608558194e-101
DA-FAP,80,TNFRSF12A,21.14958,,3.3287775701728596e-98
DA-FAP,81,PIM1,20.971796,,1.4080253412199e-96
DA-FAP,82,RPS12,20.933167,,3.1565649327797362e-96
DA-FAP,83,REL,20.910316,,5.076879690242312e-96
DA-FAP,84,BGN,20.689228,,4.999624620216909e-94
DA-FAP,85,CFD,20.571136,,5.703600948206345e-93
DA-FAP,86,IGFBP6,20.402683,,1.7929014306169335e-91
DA-FAP,87,TUBB2A,20.121334,,5.396317470179549e-89
DA-FAP,88,COL16A1,20.028603,,3.474904586460989e-88
DA-FAP,89,CLEC11A,19.98636,,8.077836614324565e-88
DA-FAP,90,FBLN1,19.90337,,4.230042092789547e-87
DA-FAP,91,RGS16,19.436638,,4.098400052217395e-83
DA-FAP,92,CD44,19.240671,,1.8186485215055356e-81
DA-FAP,93,PFKFB3,19.233122,,2.096210591798814e-81
DA-FAP,94,MMP2,19.225985,,2.396922923028902e-81
DA-FAP,95,FBLN2,19.022434,,1.1755995915655487e-79
DA-FAP,96,CHD1,18.714426,,3.964850447985732e-77
DA-FAP,97,RPL26,18.65338,,1.2358615255922361e-76
DA-FAP,98,COL18A1,18.640715,,1.5607639801941846e-76
DA-FAP,99,NFKBIZ,18.635868,,1.7028568960297648e-76
