sender,receiver,ligand,receptor,pathway,ligand_mean_log_expr,receptor_mean_log_expr,interaction_score
inflammatory FAP,b_cell,CXCL12,CXCR4,CXCL12,5.991529651187526,6.832470813084927,40.93695146747169
inflammatory FAP,t_cell,CXCL12,CXCR4,CXCL12,5.991529651187526,6.796764908230814,40.723018479815785
homeostatic FAP,b_cell,CXCL12,CXCR4,CXCL12,5.067519483467946,6.832470813084927,34.62367896553395
homeostatic FAP,t_cell,CXCL12,CXCR4,CXCL12,5.067519483467946,6.796764908230814,34.44273859701087
homeostatic FAP,homeostatic FAP,FN1,ITGB1,ECM_integrin,6.04655092859216,5.5723345420717365,33.69340459979003
DA-FAP,homeostatic FAP,COL1A1,ITGB1,ECM_integrin,5.840368430366636,5.5723345420717365,32.5444867429573
homeostatic FAP,ECM-remodeling FAP,FN1,ITGB1,ECM_integrin,6.04655092859216,5.318346942231802,32.157655642126976
DA-FAP,b_cell,CXCL12,CXCR4,CXCL12,4.561811492620522,6.832470813084927,31.168443878125103
DA-FAP,ECM-remodeling FAP,COL1A1,ITGB1,ECM_integrin,5.840368430366636,5.318346942231802,31.061105583147548
homeostatic FAP,smooth_muscle_pericyte,FN1,ITGB1,ECM_integrin,6.04655092859216,5.132820103737006,31.035858164547506
DA-FAP,t_cell,CXCL12,CXCR4,CXCL12,4.561811492620522,6.796764908230814,31.00556027100719
ECM-remodeling FAP,homeostatic FAP,FN1,ITGB1,ECM_integrin,5.456936781724284,5.5723345420717365,30.407877322704003
DA-FAP,smooth_muscle_pericyte,COL1A1,ITGB1,ECM_integrin,5.840368430366636,5.132820103737006,29.977560492616814
DA-FAP,homeostatic FAP,FN1,ITGB1,ECM_integrin,5.288965217362693,5.5723345420717365,29.471883572526085
ECM-remodeling FAP,ECM-remodeling FAP,FN1,ITGB1,ECM_integrin,5.456936781724284,5.318346942231802,29.021883047035598
homeostatic FAP,homeostatic FAP,COL1A1,ITGB1,ECM_integrin,5.084146432195795,5.5723345420717365,28.33056478107541
DA-FAP,ECM-remodeling FAP,FN1,ITGB1,ECM_integrin,5.288965217362693,5.318346942231802,28.12855199133124
ECM-remodeling FAP,smooth_muscle_pericyte,FN1,ITGB1,ECM_integrin,5.456936781724284,5.132820103737006,28.009474818056326
homeostatic FAP,adipogenic FAP,FN1,ITGB1,ECM_integrin,6.04655092859216,4.522645376743493,27.346405602441408
DA-FAP,smooth_muscle_pericyte,FN1,ITGB1,ECM_integrin,5.288965217362693,5.132820103737006,27.147306995644996
homeostatic FAP,ECM-remodeling FAP,COL1A1,ITGB1,ECM_integrin,5.084146432195795,5.318346942231802,27.039254631527232
homeostatic FAP,endothelial,FN1,ITGB1,ECM_integrin,6.04655092859216,4.425693832684405,26.760183153682487
homeostatic FAP,DA-FAP,FN1,ITGB1,ECM_integrin,6.04655092859216,4.420436156664212,26.72839234786035
homeostatic FAP,satellite_cell,FN1,ITGB1,ECM_integrin,6.04655092859216,4.393024497833089,26.562646356700775
DA-FAP,adipogenic FAP,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.522645376743493,26.41391528007632
ECM-remodeling FAP,homeostatic FAP,COL1A1,ITGB1,ECM_integrin,4.732179975233685,5.5723345420717365,26.369289935294837
adipogenic FAP,b_cell,CXCL12,CXCR4,CXCL12,3.8582370371223336,6.832470813084927,26.361291946101613
homeostatic FAP,schwann_cell,FN1,ITGB1,ECM_integrin,6.04655092859216,4.344399478342586,26.268632699947663
satellite_cell,homeostatic FAP,FN1,ITGB1,ECM_integrin,4.713455957596491,5.5723345420717365,26.26495344504874
adipogenic FAP,t_cell,CXCL12,CXCR4,CXCL12,3.8582370371223336,6.796764908230814,26.223530101549503
homeostatic FAP,smooth_muscle_pericyte,COL1A1,ITGB1,ECM_integrin,5.084146432195795,5.132820103737006,26.096009017517353
DA-FAP,endothelial,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.425693832684405,25.84768254287832
DA-FAP,DA-FAP,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.420436156664212,25.81697577783289
DA-FAP,satellite_cell,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.393024497833089,25.65688159097162
DA-FAP,schwann_cell,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.344399478342586,25.372893562213324
ECM-remodeling FAP,ECM-remodeling FAP,COL1A1,ITGB1,ECM_integrin,4.732179975233685,5.318346942231802,25.167374901374636
satellite_cell,ECM-remodeling FAP,FN1,ITGB1,ECM_integrin,4.713455957596491,5.318346942231802,25.067794079427568
homeostatic FAP,adipocyte,FN1,ITGB1,ECM_integrin,6.04655092859216,4.1261296884635525,24.948853299270976
ECM-remodeling FAP,adipogenic FAP,FN1,ITGB1,ECM_integrin,5.456936781724284,4.522645376743493,24.67978990704685
adipogenic FAP,homeostatic FAP,FN1,ITGB1,ECM_integrin,4.402274689330545,5.5723345420717365,24.530947315044717
homeostatic FAP,inflammatory FAP,FN1,ITGB1,ECM_integrin,6.04655092859216,4.035099887545048,24.398436971997633
inflammatory FAP,unassigned,CXCL12,CXCR4,CXCL12,5.991529651187526,4.071164537925211,24.392503043842062
ECM-remodeling FAP,smooth_muscle_pericyte,COL1A1,ITGB1,ECM_integrin,4.732179975233685,5.132820103737006,24.28942851138115
satellite_cell,smooth_muscle_pericyte,FN1,ITGB1,ECM_integrin,4.713455957596491,5.132820103737006,24.19332149723023
ECM-remodeling FAP,endothelial,FN1,ITGB1,ECM_integrin,5.456936781724284,4.425693832684405,24.15073146022585
ECM-remodeling FAP,DA-FAP,FN1,ITGB1,ECM_integrin,5.456936781724284,4.420436156664212,24.122040654564866
DA-FAP,adipocyte,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.1261296884635525,24.098117572101057
ECM-remodeling FAP,satellite_cell,FN1,ITGB1,ECM_integrin,5.456936781724284,4.393024497833089,23.972456965241236
DA-FAP,adipogenic FAP,FN1,ITGB1,ECM_integrin,5.288965217362693,4.522645376743493,23.92011408806253
ECM-remodeling FAP,schwann_cell,FN1,ITGB1,ECM_integrin,5.456936781724284,4.344399478342586,23.707113307871452
DA-FAP,inflammatory FAP,COL1A1,ITGB1,ECM_integrin,5.840368430366636,4.035099887545048,23.566469996594062
adipogenic FAP,ECM-remodeling FAP,FN1,ITGB1,ECM_integrin,4.402274689330545,5.318346942231802,23.41282413286556
DA-FAP,endothelial,FN1,ITGB1,ECM_integrin,5.288965217362693,4.425693832684405,23.407340743764404
DA-FAP,DA-FAP,FN1,ITGB1,ECM_integrin,5.288965217362693,4.420436156664212,23.37953307816944
DA-FAP,satellite_cell,FN1,ITGB1,ECM_integrin,5.288965217362693,4.393024497833089,23.23455376806142
homeostatic FAP,adipogenic FAP,COL1A1,ITGB1,ECM_integrin,5.084146432195795,4.522645376743493,22.993791356257237
DA-FAP,schwann_cell,FN1,ITGB1,ECM_integrin,5.288965217362693,4.344399478342586,22.977377731282566
adipogenic FAP,smooth_muscle_pericyte,FN1,ITGB1,ECM_integrin,4.402274689330545,5.132820103737006,22.596084027568406
ECM-remodeling FAP,adipocyte,FN1,ITGB1,ECM_integrin,5.456936781724284,4.1261296884635525,22.516028863141322
homeostatic FAP,endothelial,COL1A1,ITGB1,ECM_integrin,5.084146432195795,4.425693832684405,22.500875509433353
homeostatic FAP,DA-FAP,COL1A1,ITGB1,ECM_integrin,5.084146432195795,4.420436156664212,22.474144714653647
homeostatic FAP,t_cell,FN1,ITGB1,ECM_integrin,6.04655092859216,3.7090990054515887,22.427256035653564
adipocyte,b_cell,CXCL12,CXCR4,CXCL12,3.2737876416489753,6.832470813084927,22.36805850980476
homeostatic FAP,satellite_cell,COL1A1,ITGB1,ECM_integrin,5.084146432195795,4.393024497833089,22.334779827206823
adipocyte,t_cell,CXCL12,CXCR4,CXCL12,3.2737876416489753,6.796764908230814,22.25116495975947
homeostatic FAP,schwann_cell,COL1A1,ITGB1,ECM_integrin,5.084146432195795,4.344399478342586,22.087563107848734
ECM-remodeling FAP,inflammatory FAP,FN1,ITGB1,ECM_integrin,5.456936781724284,4.035099887545048,22.019284994276095
DA-FAP,adipocyte,FN1,ITGB1,ECM_integrin,5.288965217362693,4.1261296884635525,21.822956404611297
inflammatory FAP,macrophage_monocyte,CXCL12,CXCR4,CXCL12,5.991529651187526,3.634498012965207,21.776202611863184
DA-FAP,t_cell,COL1A1,ITGB1,ECM_integrin,5.840368430366636,3.7090990054515887,21.662504736543745
ECM-remodeling FAP,adipogenic FAP,COL1A1,ITGB1,ECM_integrin,4.732179975233685,4.522645376743493,21.401971886908765
DA-FAP,inflammatory FAP,FN1,ITGB1,ECM_integrin,5.288965217362693,4.035099887545048,21.341502953809872
satellite_cell,adipogenic FAP,FN1,ITGB1,ECM_integrin,4.713455957596491,4.522645376743493,21.317289795107843
homeostatic FAP,adipocyte,COL1A1,ITGB1,ECM_integrin,5.084146432195795,4.1261296884635525,20.97784753437912
ECM-remodeling FAP,endothelial,COL1A1,ITGB1,ECM_integrin,4.732179975233685,4.425693832684405,20.94317973154436
ECM-remodeling FAP,DA-FAP,COL1A1,ITGB1,ECM_integrin,4.732179975233685,4.420436156664212,20.918299462365336
satellite_cell,endothelial,FN1,ITGB1,ECM_integrin,4.713455957596491,4.425693832684405,20.860312962164354
satellite_cell,DA-FAP,FN1,ITGB1,ECM_integrin,4.713455957596491,4.420436156664212,20.835531137803862
ECM-remodeling FAP,satellite_cell,COL1A1,ITGB1,ECM_integrin,4.732179975233685,4.393024497833089,20.788582559356758
satellite_cell,satellite_cell,FN1,ITGB1,ECM_integrin,4.713455957596491,4.393024497833089,20.706327491178705
inflammatory FAP,homeostatic FAP,FN1,ITGB1,ECM_integrin,3.7081636446023034,5.5723345420717365,20.663128364472037
homeostatic FAP,unassigned,CXCL12,CXCR4,CXCL12,5.067519483467946,4.071164537925211,20.63070561633978
endothelial,b_cell,CXCL12,CXCR4,CXCL12,3.0110058996400517,6.832470813084927,20.572609927317178
