communication_group,gene,mean_log_expr,n_cells
DA-FAP,CCL2,4.394311676523798,6052
DA-FAP,CCR2,0.0,6052
DA-FAP,CD44,4.441305456163125,6052
DA-FAP,COL1A1,5.840368430366636,6052
DA-FAP,CXCL12,4.561811492620522,6052
DA-FAP,CXCR4,0.08277043775050516,6052
DA-FAP,FN1,5.288965217362693,6052
DA-FAP,FZD4,1.0584055064437186,6052
DA-FAP,IL6,2.158181882547291,6052
DA-FAP,IL6R,0.8317403462815625,6052
DA-FAP,IL6ST,3.4882311781724638,6052
DA-FAP,ITGA1,0.4312271655258082,6052
DA-FAP,ITGA5,1.4121910106292028,6052
DA-FAP,ITGB1,4.420436156664212,6052
DA-FAP,JAG1,1.0022036096703049,6052
DA-FAP,NOTCH1,0.11265708957384714,6052
DA-FAP,PDGFA,0.386583885416965,6052
DA-FAP,PDGFB,0.022419124201480643,6052
DA-FAP,PDGFRA,3.6486532997414245,6052
DA-FAP,PDGFRB,2.7422841587699134,6052
DA-FAP,SPP1,0.015368449005934154,6052
DA-FAP,TGFB1,0.7028314625836879,6052
DA-FAP,TGFBR1,1.0170521028081556,6052
DA-FAP,TGFBR2,3.282614513541934,6052
DA-FAP,TNF,0.024843115218009814,6052
DA-FAP,TNFRSF1A,2.522350703182164,6052
DA-FAP,WNT5A,1.2207413111664382,6052
ECM-remodeling FAP,CCL2,1.1049584810127602,1539
ECM-remodeling FAP,CCR2,0.0,1539
ECM-remodeling FAP,CD44,5.769134044139827,1539
ECM-remodeling FAP,COL1A1,4.732179975233685,1539
ECM-remodeling FAP,CXCL12,2.576647371235875,1539
ECM-remodeling FAP,CXCR4,0.06247529718922101,1539
ECM-remodeling FAP,FN1,5.456936781724284,1539
ECM-remodeling FAP,FZD4,1.0994972114337298,1539
ECM-remodeling FAP,IL6,0.15284447196545328,1539
ECM-remodeling FAP,IL6R,1.0115513940007823,1539
ECM-remodeling FAP,IL6ST,4.552648419810252,1539
ECM-remodeling FAP,ITGA1,0.2122363000576248,1539
ECM-remodeling FAP,ITGA5,2.8513649692564207,1539
ECM-remodeling FAP,ITGB1,5.318346942231802,1539
ECM-remodeling FAP,JAG1,1.9390346812954538,1539
ECM-remodeling FAP,NOTCH1,0.028081924080349045,1539
ECM-remodeling FAP,PDGFA,0.3646809216853234,1539
ECM-remodeling FAP,PDGFB,0.004737433793487038,1539
ECM-remodeling FAP,PDGFRA,4.249269562692163,1539
ECM-remodeling FAP,PDGFRB,3.6235286932111044,1539
ECM-remodeling FAP,SPP1,0.0,1539
ECM-remodeling FAP,TGFB1,1.3156232953849412,1539
ECM-remodeling FAP,TGFBR1,1.3425599544521776,1539
ECM-remodeling FAP,TGFBR2,4.652798541416488,1539
ECM-remodeling FAP,TNF,0.030227042838924887,1539
ECM-remodeling FAP,TNFRSF1A,3.7461060772991934,1539
ECM-remodeling FAP,WNT5A,0.8542354563790328,1539
adipocyte,CCL2,3.3379445531361287,5870
adipocyte,CCR2,0.0069161115969863,5870
adipocyte,CD44,1.078995143418856,5870
adipocyte,COL1A1,0.6058540047639327,5870
adipocyte,CXCL12,3.2737876416489753,5870
adipocyte,CXCR4,0.36674943996290255,5870
adipocyte,FN1,1.46549935968949,5870
adipocyte,FZD4,1.1517362687629717,5870
adipocyte,IL6,1.4125257626874013,5870
adipocyte,IL6R,0.25894850960117244,5870
adipocyte,IL6ST,2.430215557697972,5870
adipocyte,ITGA1,3.204484386425788,5870
adipocyte,ITGA5,0.629206017470737,5870
adipocyte,ITGB1,4.1261296884635525,5870
adipocyte,JAG1,0.9401707198314758,5870
adipocyte,NOTCH1,0.7962493321094488,5870
adipocyte,PDGFA,0.18131971142777284,5870
adipocyte,PDGFB,0.9269350270514369,5870
adipocyte,PDGFRA,0.2518612025716909,5870
adipocyte,PDGFRB,0.8428111834299699,5870
adipocyte,SPP1,0.01829831118952408,5870
adipocyte,TGFB1,0.6346072104030224,5870
adipocyte,TGFBR1,0.2987653398930812,5870
adipocyte,TGFBR2,1.7117976647514914,5870
adipocyte,TNF,0.1614008757144908,5870
adipocyte,TNFRSF1A,1.0304555448563801,5870
adipocyte,WNT5A,0.09174098983401471,5870
adipogenic FAP,CCL2,1.4826295616753558,7829
adipogenic FAP,CCR2,0.004856273839668318,7829
adipogenic FAP,CD44,3.730187973215746,7829
adipogenic FAP,COL1A1,2.2287172003909954,7829
adipogenic FAP,CXCL12,3.8582370371223336,7829
adipogenic FAP,CXCR4,0.2150682846930639,7829
adipogenic FAP,FN1,4.402274689330545,7829
adipogenic FAP,FZD4,1.6561963175184302,7829
adipogenic FAP,IL6,0.27420289202210624,7829
adipogenic FAP,IL6R,1.0645857642360976,7829
adipogenic FAP,IL6ST,4.551672100348742,7829
adipogenic FAP,ITGA1,0.28324564235193234,7829
adipogenic FAP,ITGA5,2.380264850699271,7829
adipogenic FAP,ITGB1,4.522645376743493,7829
adipogenic FAP,JAG1,1.5105892717662892,7829
adipogenic FAP,NOTCH1,0.07014181446370683,7829
adipogenic FAP,PDGFA,0.13369384178440924,7829
adipogenic FAP,PDGFB,0.018384315837855568,7829
adipogenic FAP,PDGFRA,4.462824316639407,7829
adipogenic FAP,PDGFRB,2.3860566423544025,7829
adipogenic FAP,SPP1,0.007359465109789853,7829
adipogenic FAP,TGFB1,0.6146881844143516,7829
adipogenic FAP,TGFBR1,1.0267164545353906,7829
adipogenic FAP,TGFBR2,5.423447770055725,7829
adipogenic FAP,TNF,0.05122178099667866,7829
adipogenic FAP,TNFRSF1A,2.9271042802307075,7829
adipogenic FAP,WNT5A,0.8353034994231848,7829
b_cell,CCL2,0.22411356264329085,2087
b_cell,CCR2,0.35960828336912404,2087
b_cell,CD44,3.563833573157496,2087
b_cell,COL1A1,0.10585858383917068,2087
b_cell,CXCL12,0.03839879988282142,2087
b_cell,CXCR4,6.832470813084927,2087
b_cell,FN1,0.06194349060138232,2087
b_cell,FZD4,0.007036277001241832,2087
b_cell,IL6,0.8641135982365176,2087
b_cell,IL6R,0.24759931701419544,2087
b_cell,IL6ST,0.7521923520603448,2087
b_cell,ITGA1,0.03069199497972761,2087
b_cell,ITGA5,0.1729038548259379,2087
b_cell,ITGB1,1.802859462964509,2087
b_cell,JAG1,0.05787892581253873,2087
b_cell,NOTCH1,0.3512957475548897,2087
b_cell,PDGFA,0.07200611936523879,2087
