regulator,status,mean_expression,spearman_da_fap_score_z,p_da_fap_score_z,spearman_adipogenic_z,p_adipogenic_z,spearman_fibrotic_ecm_z,p_fibrotic_ecm_z,spearman_inflammatory_remodeling_z,p_inflammatory_remodeling_z
PPARG,tested,9.453420731882257e-18,0.1854750483236763,7.370265815267414e-231,0.29047188252264544,0.0,-0.058556930400318306,2.940967221894521e-24,-0.01199994756395653,0.037462223837632806
SMAD3,tested,-9.831557561157548e-17,-0.07753490227548109,2.5581094182435123e-41,-0.1059323930683786,9.254013832656508e-76,0.013741851777020128,0.017183902436152608,-0.11447661663539654,3.073101528443307e-88
STAT3,tested,5.672052439129354e-16,-0.07193718226800783,8.568143596499131e-36,-0.05993545098397524,2.4461574184835165e-25,-0.11386128240552801,2.6256936162211643e-87,0.0060974948899316875,0.29040824137965576
CEBPA,tested,-1.7675758784314358e-05,0.21897707841676128,0.0,0.2889352283960517,0.0,-0.018215263623682837,0.0015857082178757577,0.04387287998493698,2.7286528874594252e-14
JUN,tested,1.5881746829562192e-15,0.08798520478269935,9.626347123456262e-53,0.020273113212047826,0.00043905360142634765,0.0707151815995754,1.2134978402164101e-34,0.037431114932813696,8.454459192911849e-11
FOS,tested,1.7243039414953238e-15,0.17589624197245657,1.781233094931681e-207,0.040934910417493336,1.2431338978597445e-12,0.13228032887254842,1.9961826545975255e-117,0.12236138115939502,1.2432501733108997e-100
KLF4,tested,-2.268820975651742e-16,0.09928245519019188,9.951227106750142e-67,0.013347920551201754,0.020643721802754443,0.09640449552467077,5.279554988510032e-63,0.06463257550460326,3.324263354268095e-29
KLF5,tested,1.8906841463764515e-17,0.020429528168347158,0.0003962756239105924,-0.022138992186390663,0.00012351193596946456,-0.000304431058035072,0.9579040858194704,0.02894705576831305,5.165830727624383e-07
RUNX1,tested,-3.0250946342023226e-17,0.1722090602834271,7.9559375473714455e-199,-0.023123704245998335,6.0757583886379026e-05,0.14970624858751688,3.2745551270023515e-150,0.17237664077284004,3.249127568763621e-199
RUNX2,tested,-0.0006141104918804733,0.03506581388440722,1.1886247130241424e-09,-0.0653167158963031,8.59726305067283e-30,0.0314159874444748,5.081964925410021e-08,0.04173856978572964,4.4863901767605303e-13
FOXO1,tested,2.1175662439416257e-16,-0.16964754606968904,6.247403491904e-193,-0.08605233940067526,1.6061175772698274e-50,-0.09866278577195553,6.445245085870594e-66,-0.19153205822608757,2.494793838511656e-246
FOXO3,tested,-2.8738399024922065e-16,-0.22558657874262356,0.0,-0.047963830404180334,8.721154823318111e-17,-0.2807809179965101,0.0,-0.11349419127217664,9.388764557595608e-87
HIF1A,tested,-4.915778780578774e-17,0.04848294776092331,4.0589950363057085e-17,-0.03727539497346612,1.0112725088469975e-10,0.05638537771417265,1.3165063774361183e-22,0.030310297400386498,1.4676616621064666e-07
TEAD1,tested,-2.1931936097966839e-16,-0.04549945646232061,2.949381455623552e-15,-0.09592937353752289,2.1224977805205777e-62,0.04783007205804874,1.0606994196462886e-16,-0.11533436316534076,1.5146684449980192e-89
YAP1,tested,-5.010312987897597e-17,-0.015682458523128422,0.006542485500290509,-0.0793247962033737,3.580330660810293e-43,0.03097348467127393,7.802419113006592e-08,-0.04421447238942412,1.7213716472778644e-14
WWTR1,tested,-3.0629083171298517e-16,-0.011357416886712563,0.04892164922870908,-0.06515933852093674,1.1749323996396016e-29,0.022843304580787798,7.457011812445535e-05,-0.03378036042393128,4.6652274918949134e-09
