regulator,target,spearman,pvalue
PPARG,PPARG,1.0,0.0
CEBPA,CEBPA,0.9999999999999999,0.0
FOS,DCN,0.34024254196224657,0.0
FOXO3,DCN,-0.30733687868084747,0.0
STAT3,DCN,-0.2687965976977559,0.0
JUN,DCN,0.25772296677736456,0.0
RUNX1,ICAM1,0.25481899224209564,0.0
FOXO3,COL3A1,-0.2540622108846756,0.0
RUNX1,IL6,0.2506343851975697,0.0
RUNX1,CCL2,0.24836296836720348,0.0
FOXO3,COL1A1,-0.23617247895029891,0.0
FOXO1,DCN,-0.23552632380348695,0.0
FOS,LUM,0.21301838600011427,1.5081831240030577e-305
RUNX1,TNC,0.1978993813096057,3.609531167027843e-263
FOS,CCL2,0.18979348022495351,7.800997471740046e-242
FOXO3,COL6A1,-0.18404068865388734,2.8388722557506808e-227
FOXO3,LUM,-0.17932533664509823,1.075256887298707e-215
WWTR1,DCN,-0.17460399829918086,2.0155236910610956e-204
KLF4,IL6,0.17327425993410625,2.6407669924287515e-201
SMAD3,DCN,-0.17204097455999603,1.9515791001734292e-198
FOXO3,PDGFRA,0.17146172007221913,4.2683519732628676e-197
JUN,LUM,0.16234717913939878,1.2171973587303131e-176
RUNX1,COL1A1,0.15961872672011468,9.550282831686838e-171
KLF4,CCL2,0.15687445666673597,6.35484147604499e-165
FOS,COL1A1,0.15560759017713172,2.854828573700947e-162
