regulator,interpretation,predicted_delta_da_fap_score_z,perturbation_sensitivity_score,predicted_delta_adipogenic_z,predicted_delta_fibrotic_ecm_z,predicted_delta_inflammatory_remodeling_z,mean_positive_module_correlation
CEBPA,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.21897707841676128,0.21897707841676128,-0.2889352283960517,0.018215263623682837,-0.04387287998493698,0.13794629669943748
PPARG,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.1854750483236763,0.1854750483236763,-0.29047188252264544,0.058556930400318306,0.01199994756395653,0.11898673271158045
FOS,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.17589624197245657,0.17589624197245657,-0.040934910417493336,-0.13228032887254842,-0.12236138115939502,0.11786821560547334
RUNX1,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.1722090602834271,0.1722090602834271,0.023123704245998335,-0.14970624858751688,-0.17237664077284004,0.12357298741094601
KLF4,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.09928245519019188,0.09928245519019188,-0.013347920551201754,-0.09640449552467077,-0.06463257550460326,0.06841686169266692
JUN,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.08798520478269935,0.08798520478269935,-0.020273113212047826,-0.0707151815995754,-0.037431114932813696,0.05410115363178407
HIF1A,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.04848294776092331,0.04848294776092331,0.03727539497346612,-0.05638537771417265,-0.030310297400386498,0.033794655718870616
RUNX2,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.03506581388440722,0.03506581388440722,0.0653167158963031,-0.0314159874444748,-0.04173856978572964,0.027055092778652912
KLF5,proxy virtual inhibition; negative predicted_delta means module attenuation,-0.020429528168347158,0.020429528168347158,0.022138992186390663,0.000304431058035072,-0.02894705576831305,0.012344145984165052
WWTR1,proxy virtual inhibition; negative predicted_delta means module attenuation,0.011357416886712563,-0.011357416886712563,0.06515933852093674,-0.022843304580787798,0.03378036042393128,0.0057108261451969495
YAP1,proxy virtual inhibition; negative predicted_delta means module attenuation,0.015682458523128422,-0.015682458523128422,0.0793247962033737,-0.03097348467127393,0.04421447238942412,0.007743371167818483
TEAD1,proxy virtual inhibition; negative predicted_delta means module attenuation,0.04549945646232061,-0.04549945646232061,0.09592937353752289,-0.04783007205804874,0.11533436316534076,0.011957518014512185
STAT3,proxy virtual inhibition; negative predicted_delta means module attenuation,0.07193718226800783,-0.07193718226800783,0.05993545098397524,0.11386128240552801,-0.0060974948899316875,0.0015243737224829219
SMAD3,proxy virtual inhibition; negative predicted_delta means module attenuation,0.07753490227548109,-0.07753490227548109,0.1059323930683786,-0.013741851777020128,0.11447661663539654,0.003435462944255032
FOXO1,proxy virtual inhibition; negative predicted_delta means module attenuation,0.16964754606968904,-0.16964754606968904,0.08605233940067526,0.09866278577195553,0.19153205822608757,0.0
FOXO3,proxy virtual inhibition; negative predicted_delta means module attenuation,0.22558657874262356,-0.22558657874262356,0.047963830404180334,0.2807809179965101,0.11349419127217664,0.0
