regulator,target,feature_importance,spearman_sign,signed_grn_weight,spearman_rho,target_is_module_gene
PPARG,ABI3BP,0.0010936406476804903,1.0,0.0010936406476804903,0.015971352901126726,False
SMAD3,ABI3BP,0.12942355047583418,1.0,0.12942355047583418,0.07512502016874475,False
STAT3,ABI3BP,0.06078851687771171,1.0,0.06078851687771171,0.02523128295357888,False
CEBPA,ABI3BP,0.0031825041929774613,-1.0,-0.0031825041929774613,-0.005965144239550771,False
JUN,ABI3BP,0.051940724226107585,-1.0,-0.051940724226107585,-0.03015389536849545,False
FOS,ABI3BP,0.043724712080865126,-1.0,-0.043724712080865126,-0.031388286406657445,False
KLF4,ABI3BP,0.08732972445048108,1.0,0.08732972445048108,0.007161779898034005,False
KLF5,ABI3BP,0.008449665179637371,-1.0,-0.008449665179637371,-0.004587771066616265,False
RUNX1,ABI3BP,0.10187050909523247,1.0,0.10187050909523247,0.07401695450367413,False
RUNX2,ABI3BP,0.00047466589033421877,1.0,0.00047466589033421877,0.018396035373413958,False
FOXO1,ABI3BP,0.11818264736253019,1.0,0.11818264736253019,0.0682930028341594,False
FOXO3,ABI3BP,0.06528637715277522,-1.0,-0.06528637715277522,-0.001432869772511072,False
HIF1A,ABI3BP,0.07351174754117654,1.0,0.07351174754117654,0.08262556445735253,False
TEAD1,ABI3BP,0.125001806313519,1.0,0.125001806313519,0.08908721742658862,False
YAP1,ABI3BP,0.05233551439619749,1.0,0.05233551439619749,0.07232705220993489,False
WWTR1,ABI3BP,0.07740369411693986,1.0,0.07740369411693986,0.07213997407423586,False
PPARG,ABL2,0.0009251389628259082,1.0,0.0009251389628259082,0.00886474153400817,False
SMAD3,ABL2,0.045720362199471745,1.0,0.045720362199471745,0.07999558371822009,False
STAT3,ABL2,0.07691845032758889,1.0,0.07691845032758889,0.07482000958505289,False
CEBPA,ABL2,0.00612203420241346,-1.0,-0.00612203420241346,-0.013481696002194475,False
JUN,ABL2,0.10974151555810426,-1.0,-0.10974151555810426,-0.06507453885168388,False
FOS,ABL2,0.06370471146075395,1.0,0.06370471146075395,0.013728521206631686,False
KLF4,ABL2,0.23143092704490845,1.0,0.23143092704490845,0.16068213004579296,False
KLF5,ABL2,0.008087669149441755,1.0,0.008087669149441755,0.039800377787624054,False
RUNX1,ABL2,0.2888924659503,1.0,0.2888924659503,0.18735793686777988,False
RUNX2,ABL2,0.00018416871536580144,-1.0,-0.00018416871536580144,-0.0016639011917893023,False
FOXO1,ABL2,0.024878901897489734,1.0,0.024878901897489734,0.04252567920275929,False
FOXO3,ABL2,0.05699542923539377,-1.0,-0.05699542923539377,-0.015483573012854848,False
HIF1A,ABL2,0.03802166018811329,1.0,0.03802166018811329,0.09936488274954741,False
TEAD1,ABL2,0.016597242242201184,1.0,0.016597242242201184,0.0463892950027688,False
YAP1,ABL2,0.013207329687986347,1.0,0.013207329687986347,0.03864834806639781,False
WWTR1,ABL2,0.018571993177641542,1.0,0.018571993177641542,0.06143101572483764,False
PPARG,ACTA2,0.006296578111265325,1.0,0.006296578111265325,0.012758434250339576,True
SMAD3,ACTA2,0.0982826777628008,1.0,0.0982826777628008,0.06836816702031709,True
STAT3,ACTA2,0.08992788435668508,1.0,0.08992788435668508,0.04955413038751629,True
CEBPA,ACTA2,0.0038401522568666585,1.0,0.0038401522568666585,0.011649165958720386,True
JUN,ACTA2,0.14960960766339487,1.0,0.14960960766339487,0.05575314239543595,True
FOS,ACTA2,0.16440978798849348,1.0,0.16440978798849348,0.05200877286154148,True
KLF4,ACTA2,0.0788079959082296,1.0,0.0788079959082296,0.04366713256700489,True
KLF5,ACTA2,0.011905518215735574,1.0,0.011905518215735574,0.029006412362520613,True
RUNX1,ACTA2,0.02231369954370137,1.0,0.02231369954370137,0.026417300429008746,True
RUNX2,ACTA2,0.0013328494214673763,1.0,0.0013328494214673763,0.008399463420584084,True
FOXO1,ACTA2,0.056395916492957374,1.0,0.056395916492957374,0.015805855286891275,True
FOXO3,ACTA2,0.16049854091054844,-1.0,-0.16049854091054844,-0.028065778113854977,True
HIF1A,ACTA2,0.04122041875970841,1.0,0.04122041875970841,0.04106688188295234,True
TEAD1,ACTA2,0.033225304843761,1.0,0.033225304843761,0.04640748072503043,True
YAP1,ACTA2,0.043503850510110624,1.0,0.043503850510110624,0.0534977759970595,True
WWTR1,ACTA2,0.03842921725427412,1.0,0.03842921725427412,0.03974340081006731,True
PPARG,ADAMTS4,0.00279103591591824,1.0,0.00279103591591824,0.023164930240842967,False
SMAD3,ADAMTS4,0.018865784729237382,-1.0,-0.018865784729237382,-8.097414218112767e-05,False
STAT3,ADAMTS4,0.0614820088905976,1.0,0.0614820088905976,0.0672097865753305,False
CEBPA,ADAMTS4,0.0002860131774228744,-1.0,-0.0002860131774228744,-0.002110289862980259,False
JUN,ADAMTS4,0.14111787805188863,-1.0,-0.14111787805188863,-0.08410613407907853,False
FOS,ADAMTS4,0.03849168199344197,1.0,0.03849168199344197,0.025098435286975543,False
KLF4,ADAMTS4,0.05663646673592652,1.0,0.05663646673592652,0.08312836783282436,False
KLF5,ADAMTS4,0.005421979360112779,1.0,0.005421979360112779,0.05674107355276195,False
RUNX1,ADAMTS4,0.47242589480116093,1.0,0.47242589480116093,0.2542593796063241,False
RUNX2,ADAMTS4,0.0010482439287368562,1.0,0.0010482439287368562,0.028451069922839398,False
FOXO1,ADAMTS4,0.027308348596584302,-1.0,-0.027308348596584302,-0.021481538920558693,False
FOXO3,ADAMTS4,0.03622875669349314,-1.0,-0.03622875669349314,-0.04668638913660109,False
HIF1A,ADAMTS4,0.09064960927568358,1.0,0.09064960927568358,0.12437882763735643,False
TEAD1,ADAMTS4,0.020192072753365514,-1.0,-0.020192072753365514,-0.013339988002873376,False
YAP1,ADAMTS4,0.007916142067387806,1.0,0.007916142067387806,0.006263238505724726,False
WWTR1,ADAMTS4,0.01913808302904204,1.0,0.01913808302904204,0.03776081978628953,False
PPARG,ASPN,0.016404097915293108,-1.0,-0.016404097915293108,-0.04824976240792702,False
SMAD3,ASPN,0.02722643496641596,1.0,0.02722643496641596,0.020326650692410787,False
STAT3,ASPN,0.03940560592202788,-1.0,-0.03940560592202788,-0.0012611647628021675,False
CEBPA,ASPN,0.013677855516173176,-1.0,-0.013677855516173176,-0.034419102933800044,False
JUN,ASPN,0.11635877385312092,-1.0,-0.11635877385312092,-0.014088830895857912,False
FOS,ASPN,0.06433330235957965,1.0,0.06433330235957965,0.016073138225073284,False
KLF4,ASPN,0.152539758486501,1.0,0.152539758486501,0.1229700831074688,False
KLF5,ASPN,0.006562100080665546,1.0,0.006562100080665546,0.017476107315004853,False
RUNX1,ASPN,0.17966903907568954,1.0,0.17966903907568954,0.13623455778591262,False
RUNX2,ASPN,0.0012697243481648215,1.0,0.0012697243481648215,0.015120115945959422,False
FOXO1,ASPN,0.039817623445309036,-1.0,-0.039817623445309036,-0.06885376353746471,False
FOXO3,ASPN,0.2821406932779976,-1.0,-0.2821406932779976,-0.14690896072795182,False
HIF1A,ASPN,0.0181172731051596,1.0,0.0181172731051596,0.03970242222440407,False
TEAD1,ASPN,0.01031708042914056,-1.0,-0.01031708042914056,-0.005484634959333415,False
YAP1,ASPN,0.007931540044485085,1.0,0.007931540044485085,0.004523463400733798,False
WWTR1,ASPN,0.02422909717427635,1.0,0.02422909717427635,0.02724623357504411,False
PPARG,B2M,0.00019083395058504246,-1.0,-0.00019083395058504246,-0.06640808315813103,False
SMAD3,B2M,0.043973075632955924,-1.0,-0.043973075632955924,-0.158879735693026,False
STAT3,B2M,0.12657630003157633,-1.0,-0.12657630003157633,-0.19580027308377293,False
CEBPA,B2M,0.0008265404652966662,-1.0,-0.0008265404652966662,-0.05592287224331403,False
JUN,B2M,0.15729298368881103,-1.0,-0.15729298368881103,-0.042016077091859984,False
FOS,B2M,0.10865664079732473,1.0,0.10865664079732473,0.009679627051590393,False
KLF4,B2M,0.1270568880532762,1.0,0.1270568880532762,0.02451460340225874,False
KLF5,B2M,0.007006770874463035,-1.0,-0.007006770874463035,-0.032517228473021284,False
RUNX1,B2M,0.008733646210123335,-1.0,-0.008733646210123335,-0.04777618820897746,False
RUNX2,B2M,0.0017597477604527037,-1.0,-0.0017597477604527037,-0.05706882663817002,False
FOXO1,B2M,0.0983528044479838,-1.0,-0.0983528044479838,-0.24415204750440286,False
FOXO3,B2M,0.15742460504755626,-1.0,-0.15742460504755626,-0.2519678974135269,False
HIF1A,B2M,0.012515004851388723,-1.0,-0.012515004851388723,-0.07237554250124113,False
TEAD1,B2M,0.0877110146802137,-1.0,-0.0877110146802137,-0.1759075343170854,False
YAP1,B2M,0.012783212604176154,-1.0,-0.012783212604176154,-0.13308794980514166,False
WWTR1,B2M,0.04913993090381654,-1.0,-0.04913993090381654,-0.16653027994009387,False
PPARG,BHLHE40,0.00030789001033007025,-1.0,-0.00030789001033007025,-0.010259158747133453,False
SMAD3,BHLHE40,0.03802729842847677,1.0,0.03802729842847677,0.06376362751355612,False
STAT3,BHLHE40,0.13464367234409821,1.0,0.13464367234409821,0.10207268563712767,False
CEBPA,BHLHE40,0.0013485241124106201,-1.0,-0.0013485241124106201,-0.0014444461579849392,False
JUN,BHLHE40,0.11388238369091139,1.0,0.11388238369091139,0.07613096914293258,False
FOS,BHLHE40,0.23605277096001517,1.0,0.23605277096001517,0.10786668463395684,False
KLF4,BHLHE40,0.12212017406225574,1.0,0.12212017406225574,0.13109108966267563,False
KLF5,BHLHE40,0.0036280503364790697,1.0,0.0036280503364790697,0.0363446318827179,False
RUNX1,BHLHE40,0.11999008773933736,1.0,0.11999008773933736,0.12429568392578152,False
RUNX2,BHLHE40,0.0016684091265026,1.0,0.0016684091265026,0.018662925343695454,False
FOXO1,BHLHE40,0.03431185177217571,-1.0,-0.03431185177217571,-0.024796484123255837,False
FOXO3,BHLHE40,0.12705694814254326,-1.0,-0.12705694814254326,-0.07517612188713295,False
HIF1A,BHLHE40,0.01839899473522724,1.0,0.01839899473522724,0.05856835060426779,False
TEAD1,BHLHE40,0.010365017889861963,1.0,0.010365017889861963,0.010046295894670569,False
YAP1,BHLHE40,0.01964817373431268,1.0,0.01964817373431268,0.018332036847469094,False
WWTR1,BHLHE40,0.018549752915062275,1.0,0.018549752915062275,0.04676359145071372,False
PPARG,CCDC80,0.003889080976183461,-1.0,-0.003889080976183461,-0.050505802405273,False
SMAD3,CCDC80,0.03534443828105776,1.0,0.03534443828105776,0.010557096675531914,False
STAT3,CCDC80,0.0917910334666505,-1.0,-0.0917910334666505,-0.0779033044067744,False
CEBPA,CCDC80,0.004639897969106456,-1.0,-0.004639897969106456,-0.02211127800350809,False
JUN,CCDC80,0.03336631403498885,1.0,0.03336631403498885,0.0353956812676683,False
FOS,CCDC80,0.059480958825648494,1.0,0.059480958825648494,0.060028935088766985,False
KLF4,CCDC80,0.17350459334570784,1.0,0.17350459334570784,0.0719893566096638,False
KLF5,CCDC80,0.018913983856220715,-1.0,-0.018913983856220715,-0.02884612185404643,False
RUNX1,CCDC80,0.10501135033846384,1.0,0.10501135033846384,0.12220311345247946,False
RUNX2,CCDC80,0.0005330578711123377,-1.0,-0.0005330578711123377,-0.004204673458123709,False
FOXO1,CCDC80,0.04372684752841483,-1.0,-0.04372684752841483,-0.06693648762039228,False
FOXO3,CCDC80,0.34671267604915723,-1.0,-0.34671267604915723,-0.19296701938310598,False
HIF1A,CCDC80,0.026735542287271225,1.0,0.026735542287271225,0.054994671660246026,False
TEAD1,CCDC80,0.03750888436437268,1.0,0.03750888436437268,0.0419666827145196,False
YAP1,CCDC80,0.0059198160756165664,1.0,0.0059198160756165664,0.0062473461908896764,False
WWTR1,CCDC80,0.012921524730027199,1.0,0.012921524730027199,0.02757244031001096,False
PPARG,CCL2,0.0003467205542890765,-1.0,-0.0003467205542890765,-0.015713281649680715,True
SMAD3,CCL2,0.031829104157847087,-1.0,-0.031829104157847087,-0.05607674201250414,True
STAT3,CCL2,0.028126290433743827,1.0,0.028126290433743827,0.04425779862980779,True
CEBPA,CCL2,0.0012256473040491553,1.0,0.0012256473040491553,0.019519936116493317,True
JUN,CCL2,0.12346367877837507,1.0,0.12346367877837507,0.03754110394402179,True
FOS,CCL2,0.1272457507866489,1.0,0.1272457507866489,0.1444392583681234,True
KLF4,CCL2,0.05572665820396281,1.0,0.05572665820396281,0.11360517409755617,True
KLF5,CCL2,0.01526329805242646,1.0,0.01526329805242646,0.07539188700562253,True
RUNX1,CCL2,0.34478481684732876,1.0,0.34478481684732876,0.22033821409941487,True
RUNX2,CCL2,0.0009914658567508772,1.0,0.0009914658567508772,0.02666122830156488,True
FOXO1,CCL2,0.09090003723808528,-1.0,-0.09090003723808528,-0.11650851569982998,True
FOXO3,CCL2,0.1136865373298253,-1.0,-0.1136865373298253,-0.12202984083574338,True
HIF1A,CCL2,0.03271837292431987,1.0,0.03271837292431987,0.08227551305936207,True
TEAD1,CCL2,0.022547045617480978,-1.0,-0.022547045617480978,-0.06851467860468324,True
YAP1,CCL2,0.005214551414127558,-1.0,-0.005214551414127558,-0.021812070156796894,True
WWTR1,CCL2,0.005930024500738993,1.0,0.005930024500738993,0.020392257422031858,True
PPARG,CD36,0.008851900240980976,-1.0,-0.008851900240980976,-0.00034181095766029114,True
SMAD3,CD36,0.04282592257403034,-1.0,-0.04282592257403034,-0.01317792270316173,True
STAT3,CD36,0.12152709476041051,-1.0,-0.12152709476041051,-0.017869275532871782,True
CEBPA,CD36,0.014131711978697978,1.0,0.014131711978697978,0.008254083907953944,True
JUN,CD36,0.11080189412821788,1.0,0.11080189412821788,0.026350208150631913,True
FOS,CD36,0.13016345871618665,1.0,0.13016345871618665,0.020016831387600433,True
KLF4,CD36,0.1461764528697719,-1.0,-0.1461764528697719,-0.00276272568474362,True
KLF5,CD36,0.02966634366183118,1.0,0.02966634366183118,0.010028932857954495,True
RUNX1,CD36,0.03581130778750593,-1.0,-0.03581130778750593,-0.004852479848779333,True
RUNX2,CD36,0.010655857422583088,-1.0,-0.010655857422583088,-0.006241061350946493,True
FOXO1,CD36,0.05681347780223393,-1.0,-0.05681347780223393,-0.017273572688614906,True
FOXO3,CD36,0.11431214501920185,-1.0,-0.11431214501920185,-0.004824605910965964,True
HIF1A,CD36,0.027333931928490336,1.0,0.027333931928490336,0.0038909804282621576,True
TEAD1,CD36,0.03542366669277484,-1.0,-0.03542366669277484,-0.00291937360142058,True
YAP1,CD36,0.054138535009759806,-1.0,-0.054138535009759806,-0.01378102261662676,True
WWTR1,CD36,0.06136629940732265,-1.0,-0.06136629940732265,-0.004094041817941581,True
PPARG,CEBPA,0.12328041917195215,1.0,0.12328041917195215,0.06575547266207996,True
SMAD3,CEBPA,0.03350143080953689,1.0,0.03350143080953689,0.010190626638579782,True
STAT3,CEBPA,0.10111751064746383,1.0,0.10111751064746383,0.0286310255568101,True
JUN,CEBPA,0.06008975621246211,1.0,0.06008975621246211,0.04205370098095604,True
FOS,CEBPA,0.07816581273678044,1.0,0.07816581273678044,0.0432267359778145,True
KLF4,CEBPA,0.0786362801813312,1.0,0.0786362801813312,0.02075647500787685,True
KLF5,CEBPA,0.02507437773532721,1.0,0.02507437773532721,0.02027064493420001,True
RUNX1,CEBPA,0.047041585386038504,-1.0,-0.047041585386038504,-0.011198797481385137,True
RUNX2,CEBPA,0.07813222998700967,1.0,0.07813222998700967,0.05018990993143688,True
FOXO1,CEBPA,0.07001244279488325,1.0,0.07001244279488325,0.018123699208590093,True
FOXO3,CEBPA,0.09257912474273323,1.0,0.09257912474273323,0.014761806846099667,True
HIF1A,CEBPA,0.049001663290713315,1.0,0.049001663290713315,0.015316827492336862,True
TEAD1,CEBPA,0.03890247090541114,1.0,0.03890247090541114,0.02136415723998729,True
YAP1,CEBPA,0.039681453286143836,1.0,0.039681453286143836,0.026577228859503057,True
WWTR1,CEBPA,0.08478344211221328,1.0,0.08478344211221328,0.04553233819460181,True
PPARG,CILP,0.002421415107574994,1.0,0.002421415107574994,0.0015159490688855138,False
SMAD3,CILP,0.03273894436637073,1.0,0.03273894436637073,0.026000223609828038,False
STAT3,CILP,0.15971835355098132,-1.0,-0.15971835355098132,-0.02641318043513031,False
CEBPA,CILP,0.004011887173066967,1.0,0.004011887173066967,0.03184365247609399,False
JUN,CILP,0.14245163229338237,1.0,0.14245163229338237,0.04883066970683258,False
FOS,CILP,0.046521390569554476,1.0,0.046521390569554476,0.0047543728958222365,False
KLF4,CILP,0.09347695043395275,-1.0,-0.09347695043395275,-0.029393212197416425,False
KLF5,CILP,0.039919350142670576,-1.0,-0.039919350142670576,-0.03045437622426664,False
RUNX1,CILP,0.025169050713113605,1.0,0.025169050713113605,0.027070287415418604,False
RUNX2,CILP,0.0027074272923327857,1.0,0.0027074272923327857,0.02985915147223624,False
FOXO1,CILP,0.12685519229898476,1.0,0.12685519229898476,0.06230501607875978,False
FOXO3,CILP,0.0976007171914609,1.0,0.0976007171914609,0.018099991164569416,False
HIF1A,CILP,0.020223476996746113,1.0,0.020223476996746113,0.023410331168826494,False
TEAD1,CILP,0.16499711059954408,1.0,0.16499711059954408,0.08389774147676393,False
YAP1,CILP,0.02231029120396475,1.0,0.02231029120396475,0.04743441162317076,False
WWTR1,CILP,0.018876810066298842,1.0,0.018876810066298842,0.030496161751618258,False
PPARG,COL14A1,0.0016188462808632165,-1.0,-0.0016188462808632165,-0.01339939805022369,False
SMAD3,COL14A1,0.039429693397530455,1.0,0.039429693397530455,0.031444830023827954,False
STAT3,COL14A1,0.07947448194027935,-1.0,-0.07947448194027935,-0.005551073870962469,False
CEBPA,COL14A1,0.0014830508345598686,-1.0,-0.0014830508345598686,-0.019417319224736513,False
JUN,COL14A1,0.053153293880388974,-1.0,-0.053153293880388974,-0.023106160189597123,False
FOS,COL14A1,0.1042939871360976,1.0,0.1042939871360976,0.030563637007023133,False
KLF4,COL14A1,0.0833118821168776,-1.0,-0.0833118821168776,-0.02060600318112968,False
KLF5,COL14A1,0.015593063364402816,-1.0,-0.015593063364402816,-0.005319038014036445,False
RUNX1,COL14A1,0.1611713470801133,1.0,0.1611713470801133,0.11033389234372273,False
RUNX2,COL14A1,0.004687719943996118,1.0,0.004687719943996118,0.01795317340121291,False
FOXO1,COL14A1,0.07015460544180485,1.0,0.07015460544180485,0.024492768103826754,False
FOXO3,COL14A1,0.11474839274812647,-1.0,-0.11474839274812647,-0.0561914106851667,False
HIF1A,COL14A1,0.05110642288268591,1.0,0.05110642288268591,0.07280848751465822,False
TEAD1,COL14A1,0.15322146766595615,1.0,0.15322146766595615,0.07852915299638416,False
YAP1,COL14A1,0.033090350767151125,1.0,0.033090350767151125,0.056952250839826926,False
WWTR1,COL14A1,0.03346139451916626,1.0,0.03346139451916626,0.05575871314981126,False
PPARG,COL15A1,0.003164898366553614,1.0,0.003164898366553614,0.024401650318819947,False
SMAD3,COL15A1,0.05752493595941579,-1.0,-0.05752493595941579,-0.06781018528171734,False
STAT3,COL15A1,0.048924493330774255,-1.0,-0.048924493330774255,-0.06716054483370644,False
CEBPA,COL15A1,0.03316928407858029,1.0,0.03316928407858029,0.07093780078392238,False
JUN,COL15A1,0.2714172849105949,1.0,0.2714172849105949,0.1263036892613073,False
FOS,COL15A1,0.17598632123954713,1.0,0.17598632123954713,0.09151289325216287,False
KLF4,COL15A1,0.14816565580853172,-1.0,-0.14816565580853172,-0.07854155072601077,False
KLF5,COL15A1,0.0077977009395416505,-1.0,-0.0077977009395416505,-0.012267750306114808,False
RUNX1,COL15A1,0.00952504339727769,-1.0,-0.00952504339727769,-0.01981627666554693,False
RUNX2,COL15A1,0.025128915518093993,1.0,0.025128915518093993,0.07295081550186981,False
FOXO1,COL15A1,0.08157038963466032,-1.0,-0.08157038963466032,-0.04941223332276082,False
FOXO3,COL15A1,0.10147313381719049,-1.0,-0.10147313381719049,-0.020446327256302733,False
HIF1A,COL15A1,0.0067118997007360294,1.0,0.0067118997007360294,0.007027050824519929,False
TEAD1,COL15A1,0.00780342739037828,1.0,0.00780342739037828,0.02274590230152434,False
YAP1,COL15A1,0.012688144881152963,1.0,0.012688144881152963,0.024375587315193313,False
WWTR1,COL15A1,0.008948471026970828,1.0,0.008948471026970828,0.0067895291910282625,False
PPARG,COL1A1,0.0006899186888801144,-1.0,-0.0006899186888801144,-0.04323870094610455,True
SMAD3,COL1A1,0.03425657254723486,-1.0,-0.03425657254723486,-0.009496007914278378,True
STAT3,COL1A1,0.07368535562456266,-1.0,-0.07368535562456266,-0.07418908753941715,True
CEBPA,COL1A1,0.00036806805172004257,-1.0,-0.00036806805172004257,-0.01615328166775918,True
JUN,COL1A1,0.05820600762632695,1.0,0.05820600762632695,0.01774350396200756,True
FOS,COL1A1,0.041307252316571515,1.0,0.041307252316571515,0.08523856886713299,True
KLF4,COL1A1,0.09923291704754995,1.0,0.09923291704754995,0.08098201885977321,True
KLF5,COL1A1,0.0026827303246174114,1.0,0.0026827303246174114,0.03800324306382985,True
RUNX1,COL1A1,0.15935437921773285,1.0,0.15935437921773285,0.1495322543718498,True
RUNX2,COL1A1,0.002388642485166818,1.0,0.002388642485166818,0.02229191228481645,True
FOXO1,COL1A1,0.06497053642589004,-1.0,-0.06497053642589004,-0.11144241494809431,True
FOXO3,COL1A1,0.39493150846743796,-1.0,-0.39493150846743796,-0.23021899955650332,True
HIF1A,COL1A1,0.03596706648946303,1.0,0.03596706648946303,0.07284237352472261,True
TEAD1,COL1A1,0.008275906646662438,1.0,0.008275906646662438,0.006906989892045413,True
YAP1,COL1A1,0.007702820859610938,1.0,0.007702820859610938,0.017094372399202,True
WWTR1,COL1A1,0.015980317180572554,1.0,0.015980317180572554,0.03142105436396596,True
PPARG,COL1A2,0.0003719369391634545,-1.0,-0.0003719369391634545,-0.062220338725220856,False
SMAD3,COL1A2,0.016268950277868528,-1.0,-0.016268950277868528,-0.03856497942698139,False
STAT3,COL1A2,0.14891879730625904,-1.0,-0.14891879730625904,-0.1755265495408744,False
CEBPA,COL1A2,0.00048420642218896564,-1.0,-0.00048420642218896564,-0.023698504451168317,False
JUN,COL1A2,0.029503012052095226,1.0,0.029503012052095226,0.027326345648540504,False
FOS,COL1A2,0.028022836622034596,1.0,0.028022836622034596,0.09896964598822773,False
KLF4,COL1A2,0.06245065506504218,1.0,0.06245065506504218,0.048832375480269745,False
KLF5,COL1A2,0.008042052852106997,-1.0,-0.008042052852106997,-0.012632525639452672,False
RUNX1,COL1A2,0.06280328699999661,1.0,0.06280328699999661,0.11125438896219153,False
RUNX2,COL1A2,0.0005886226743573086,1.0,0.0005886226743573086,0.013547602851319998,False
FOXO1,COL1A2,0.12231257400227498,-1.0,-0.12231257400227498,-0.15473372525138812,False
FOXO3,COL1A2,0.4915658385969135,-1.0,-0.4915658385969135,-0.31102392138589,False
HIF1A,COL1A2,0.008479313463580017,1.0,0.008479313463580017,0.03393882444441004,False
TEAD1,COL1A2,0.00915256678061169,-1.0,-0.00915256678061169,-0.00040075689269236105,False
YAP1,COL1A2,0.004541229314145123,-1.0,-0.004541229314145123,-0.012293919696784023,False
WWTR1,COL1A2,0.0064941206313619115,-1.0,-0.0064941206313619115,-0.022781158437281592,False
PPARG,COL3A1,0.0015344124687491775,-1.0,-0.0015344124687491775,-0.0425053384848842,True
SMAD3,COL3A1,0.027894081265216576,1.0,0.027894081265216576,0.0014906515403389528,True
STAT3,COL3A1,0.15166453723260273,-1.0,-0.15166453723260273,-0.12063195283485467,True
CEBPA,COL3A1,0.00072341063394515,-1.0,-0.00072341063394515,-0.014632201314511241,True
JUN,COL3A1,0.024678821383705453,-1.0,-0.024678821383705453,-0.0007730450570467007,True
FOS,COL3A1,0.02442530980053185,1.0,0.02442530980053185,0.05518642341413935,True
KLF4,COL3A1,0.08517514488003013,1.0,0.08517514488003013,0.0427018592365578,True
KLF5,COL3A1,0.008580191280598837,-1.0,-0.008580191280598837,-0.01709873890693844,True
RUNX1,COL3A1,0.10465971455802847,1.0,0.10465971455802847,0.13009236679495345,True
RUNX2,COL3A1,0.001124802812964317,1.0,0.001124802812964317,0.015601232601685963,True
FOXO1,COL3A1,0.07367532699732796,-1.0,-0.07367532699732796,-0.10049845623851728,True
FOXO3,COL3A1,0.4325637599790487,-1.0,-0.4325637599790487,-0.2485252564136145,True
HIF1A,COL3A1,0.026680301801976454,1.0,0.026680301801976454,0.06305550092512807,True
TEAD1,COL3A1,0.017807900761303036,1.0,0.017807900761303036,0.032445181851581656,True
YAP1,COL3A1,0.004840316333488412,1.0,0.004840316333488412,0.013603287749222322,True
WWTR1,COL3A1,0.013971967810482605,1.0,0.013971967810482605,0.034245969599045974,True
PPARG,COL6A1,0.00012446676005564483,-1.0,-0.00012446676005564483,-0.014881641312732213,True
SMAD3,COL6A1,0.03249508168442391,1.0,0.03249508168442391,0.008431955576960066,True
STAT3,COL6A1,0.14617475761481716,-1.0,-0.14617475761481716,-0.07996749516185364,True
CEBPA,COL6A1,0.000788721832567729,-1.0,-0.000788721832567729,-0.000802824734987814,True
JUN,COL6A1,0.07616132352501481,1.0,0.07616132352501481,0.019697853932395096,True
FOS,COL6A1,0.0560500140863301,1.0,0.0560500140863301,0.0088991857339866,True
KLF4,COL6A1,0.11673269032398347,-1.0,-0.11673269032398347,-0.01987353114185443,True
KLF5,COL6A1,0.05117220264178049,-1.0,-0.05117220264178049,-0.059404301249406516,True
RUNX1,COL6A1,0.024051276494077997,1.0,0.024051276494077997,0.0004423371061155759,True
RUNX2,COL6A1,0.0062400675413923235,1.0,0.0062400675413923235,0.030999776827497695,True
FOXO1,COL6A1,0.05205774718391155,-1.0,-0.05205774718391155,-0.0704942099901229,True
FOXO3,COL6A1,0.32397662773527247,-1.0,-0.32397662773527247,-0.12373619679441732,True
HIF1A,COL6A1,0.014470000099025259,-1.0,-0.014470000099025259,-0.0015726793089525786,True
TEAD1,COL6A1,0.07151653197543682,1.0,0.07151653197543682,0.021802225146502166,True
YAP1,COL6A1,0.0129898007849271,1.0,0.0129898007849271,0.0046981091579540975,True
WWTR1,COL6A1,0.01499868971698327,-1.0,-0.01499868971698327,-0.015844254009025827,True
PPARG,COL6A2,0.0002504358235771963,-1.0,-0.0002504358235771963,-0.039731035961082295,False
SMAD3,COL6A2,0.031250743506754754,-1.0,-0.031250743506754754,-0.08252744768571214,False
STAT3,COL6A2,0.1885253645232849,-1.0,-0.1885253645232849,-0.17532613122832574,False
CEBPA,COL6A2,0.0008253939218327632,-1.0,-0.0008253939218327632,-0.017669687937344032,False
JUN,COL6A2,0.10150564537183698,1.0,0.10150564537183698,0.05744214434119478,False
FOS,COL6A2,0.1518968389195012,1.0,0.1518968389195012,0.12384345297059161,False
KLF4,COL6A2,0.14758010998200916,1.0,0.14758010998200916,0.03557645154098598,False
KLF5,COL6A2,0.018429027028289434,-1.0,-0.018429027028289434,-0.03561999576199428,False
RUNX1,COL6A2,0.047286758186106795,1.0,0.047286758186106795,0.05176464457218486,False
