regulator,perturbation,predicted_delta_da_fap_program,predicted_delta_adipogenic,predicted_delta_fibrotic_ecm,predicted_delta_inflammatory_remodeling,perturbation_sensitivity_score,interpretation
RUNX1,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.04454588421622294,-0.00024290528006165002,-0.057217625363650465,-0.07617712200495672,0.04454588421622294,negative delta indicates predicted attenuation; computational prediction only
FOS,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.028961624059030605,-0.0037023764959750647,-0.019798146854659682,-0.06338434882645708,0.028961624059030605,negative delta indicates predicted attenuation; computational prediction only
KLF4,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.01331749566985226,-9.007148015338032e-06,-0.03478310947764414,-0.005160370383897298,0.01331749566985226,negative delta indicates predicted attenuation; computational prediction only
HIF1A,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.009942751862756088,-0.002197067352059626,-0.012383445698413076,-0.015247742537795563,0.009942751862756088,negative delta indicates predicted attenuation; computational prediction only
STAT3,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.009087813187587149,-0.0034262661085025284,0.0037085196466190573,-0.027545693100877976,0.009087813187587149,negative delta indicates predicted attenuation; computational prediction only
CEBPA,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.009001805466583626,-0.020893563329562916,0.0003209671054953212,-0.006432820175683281,0.009001805466583626,negative delta indicates predicted attenuation; computational prediction only
WWTR1,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.0066030332630630136,-0.0031529160097490483,-0.010612515310502406,-0.006043668468937586,0.0066030332630630136,negative delta indicates predicted attenuation; computational prediction only
PPARG,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.006059530740890914,-0.016811346674316954,0.0003605042465201422,-0.0017277497948759279,0.006059530740890914,negative delta indicates predicted attenuation; computational prediction only
YAP1,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.0040773557251745475,-0.001261826752091403,-0.008131939980476392,-0.0028383004429558467,0.0040773557251745475,negative delta indicates predicted attenuation; computational prediction only
SMAD3,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.0031652166629136196,0.0011484279165767505,-0.019571396171478433,0.008927318266160826,0.0031652166629136196,negative delta indicates predicted attenuation; computational prediction only
RUNX2,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.002684740908474975,-0.001327829063123762,-0.0015006112758231297,-0.005225782386478032,0.002684740908474975,negative delta indicates predicted attenuation; computational prediction only
TEAD1,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.002582617891174665,-0.0014487873032825228,-0.011696346493059869,0.005397280122818396,0.002582617891174665,negative delta indicates predicted attenuation; computational prediction only
KLF5,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,-0.0021225721430984603,-0.00229999512473198,3.334923198505403e-05,-0.004101070536548455,0.0021225721430984603,negative delta indicates predicted attenuation; computational prediction only
FOXO1,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,7.346006653550774e-05,-0.002681558605044141,-0.0020570770793385033,0.004959015883989167,-7.346006653550774e-05,negative delta indicates predicted attenuation; computational prediction only
JUN,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,0.009802008347832366,-0.009661651240268701,-0.0065285524683801905,0.04559622875214599,-0.009802008347832366,negative delta indicates predicted attenuation; computational prediction only
FOXO3,GRN-regression simulated knockdown to fifth-percentile expression in DA-FAP cells,0.010359623788435524,-0.004225943158294329,0.041277984232927147,-0.005973169709326246,-0.010359623788435524,negative delta indicates predicted attenuation; computational prediction only
