regulator,target,mean_predicted_delta_log_expression,mean_predicted_baseline_log_expression,n_da_fap_cells,effect_type
PPARG,ABI3BP,0.00019549479134330232,1.3270707183259902,3511,grn_regression_prediction
PPARG,ABL2,-5.049969031179453e-05,0.7871895942696501,3511,grn_regression_prediction
PPARG,ACTA2,-0.0002738012432074788,0.3469903672120604,3511,grn_regression_prediction
PPARG,ADAMTS4,-0.0010558364783759607,0.38501361144338125,3511,grn_regression_prediction
PPARG,ASPN,0.004506167753107648,0.787387464696282,3511,grn_regression_prediction
PPARG,B2M,3.337894346130139e-05,3.7486179444151326,3511,grn_regression_prediction
PPARG,BHLHE40,6.0081412157615406e-05,0.6803289454569699,3511,grn_regression_prediction
PPARG,CCDC80,0.0008643602768461031,2.389059139752932,3511,grn_regression_prediction
PPARG,CCL2,-0.0001720447214503975,1.3309328949259225,3511,grn_regression_prediction
PPARG,CD36,-0.0002536339292295084,0.06417911862972783,3511,grn_regression_prediction
PPARG,CEBPA,-0.005313239260626192,0.07747167955619647,3511,grn_regression_prediction
PPARG,CILP,0.0008776505605843254,1.7232247589825997,3511,grn_regression_prediction
PPARG,COL14A1,0.00035095586178712784,1.1718055545562678,3511,grn_regression_prediction
PPARG,COL15A1,-0.0012701679627664922,1.2728203241225007,3511,grn_regression_prediction
PPARG,COL1A1,0.0003398249183597523,2.0308785534719687,3511,grn_regression_prediction
PPARG,COL1A2,0.00023851988043703404,3.068407324393806,3511,grn_regression_prediction
PPARG,COL3A1,0.0007916752085061955,2.260080187370382,3511,grn_regression_prediction
PPARG,COL6A1,8.880632545541275e-06,2.755118283775866,3511,grn_regression_prediction
PPARG,COL6A2,6.356857885376807e-05,3.256437370436789,3511,grn_regression_prediction
PPARG,CRABP2,-5.984366902843107e-05,0.6013065937299805,3511,grn_regression_prediction
PPARG,CRIP1,0.0037161006230577876,0.8692841204617309,3511,grn_regression_prediction
PPARG,CST3,9.460979350300777e-05,3.817588379187304,3511,grn_regression_prediction
PPARG,CTHRC1,0.001245164770919033,0.516304488449469,3511,grn_regression_prediction
PPARG,CXCL12,-0.007579270890154923,1.8913219138802022,3511,grn_regression_prediction
PPARG,CXCL14,-0.0050559968063944105,1.7503365456157385,3511,grn_regression_prediction
PPARG,CXCL2,-0.0005012197912621524,0.7765720689464484,3511,grn_regression_prediction
PPARG,DCN,0.00010627368845022626,4.657571546917606,3511,grn_regression_prediction
PPARG,DPT,4.5879002797341086e-05,2.4844708697402766,3511,grn_regression_prediction
PPARG,EIF1,3.0333697354972923e-06,3.5538847893947216,3511,grn_regression_prediction
PPARG,ELN,0.0012407662932880205,0.9280504829175651,3511,grn_regression_prediction
PPARG,EMP1,-0.0003667805572532609,1.9416528421102945,3511,grn_regression_prediction
PPARG,FABP4,-0.0005588759933327485,0.0830012620439672,3511,grn_regression_prediction
PPARG,FN1,0.0026772506470915565,2.1419637139707555,3511,grn_regression_prediction
PPARG,FOS,7.015527575280879e-05,2.595506288706375,3511,grn_regression_prediction
PPARG,FOSB,3.726573888492769e-05,1.3722394392527941,3511,grn_regression_prediction
PPARG,FOXO1,-0.004343753997345392,0.6682540583499361,3511,grn_regression_prediction
PPARG,FOXO3,-0.002968895389619897,1.2735886280940487,3511,grn_regression_prediction
PPARG,GADD45B,-8.042002397228411e-05,2.2277772305289854,3511,grn_regression_prediction
PPARG,GEM,-0.0004077650150256006,0.5990427576831885,3511,grn_regression_prediction
PPARG,GPRC5A,0.00033065259081059616,0.6280824544511414,3511,grn_regression_prediction
PPARG,GSN,4.407885583039866e-05,4.292037680014626,3511,grn_regression_prediction
PPARG,HAS1,0.0005172367627945128,0.5306449130860874,3511,grn_regression_prediction
PPARG,HIF1A,-0.0018225090230603543,0.4212594283691042,3511,grn_regression_prediction
PPARG,HSPG2,-0.00013412769664558947,1.6767568740071912,3511,grn_regression_prediction
PPARG,ICAM1,-0.00010293338836432185,0.49651674085613756,3511,grn_regression_prediction
PPARG,IER3,-7.283874446047585e-05,1.0909652062174227,3511,grn_regression_prediction
PPARG,IGF2,-4.966471993238376e-05,0.5517302824940203,3511,grn_regression_prediction
PPARG,IL6,-0.0007321290763079223,0.5333962678225675,3511,grn_regression_prediction
PPARG,IRF1,4.8846452633004556e-05,1.1391736619219361,3511,grn_regression_prediction
PPARG,JUN,-0.00026597045506695187,2.655053749494969,3511,grn_regression_prediction
PPARG,JUNB,2.7621395382487518e-05,2.642770043921625,3511,grn_regression_prediction
PPARG,JUND,-2.8920875706039615e-05,1.9798615336094656,3511,grn_regression_prediction
PPARG,KDM6B,-0.0002144355369181162,0.5774021016331217,3511,grn_regression_prediction
PPARG,KLF4,0.0003090943294867064,1.3980649142249422,3511,grn_regression_prediction
PPARG,KLF5,-0.0015194348818585034,0.1522004537194626,3511,grn_regression_prediction
PPARG,LGALS1,0.000749706332925671,3.3088697758237844,3511,grn_regression_prediction
PPARG,LMNA,0.0005262285926747472,2.266725422058164,3511,grn_regression_prediction
PPARG,LOX,0.0001748228895085943,0.4615704056274941,3511,grn_regression_prediction
PPARG,LPL,-0.0029676753176039405,0.0591481386567459,3511,grn_regression_prediction
PPARG,LUM,0.0002979405134356186,2.730449775055442,3511,grn_regression_prediction
PPARG,MGP,-7.597903288671668e-05,3.737511773450317,3511,grn_regression_prediction
PPARG,MMP14,-0.001933669512946941,0.8739159726548201,3511,grn_regression_prediction
PPARG,MMP2,-2.697191325435314e-05,2.447638707492677,3511,grn_regression_prediction
PPARG,MT-ATP6,-1.7921906695185626e-06,4.0235800904845,3511,grn_regression_prediction
PPARG,MT-CO1,-1.229522888931836e-06,3.9568799511524415,3511,grn_regression_prediction
PPARG,MT-CO2,3.8011427558491443e-06,3.98329321165335,3511,grn_regression_prediction
PPARG,MT-CYB,1.4045160849922593e-05,4.034005523220408,3511,grn_regression_prediction
PPARG,MT-ND1,1.717198406624998e-05,3.7595417072399866,3511,grn_regression_prediction
PPARG,MT-ND3,-3.613861011229769e-07,3.8442123457713024,3511,grn_regression_prediction
PPARG,MT-ND4,3.6520513445284766e-05,4.0733362118219585,3511,grn_regression_prediction
PPARG,MT2A,-0.00012333358693249083,3.0933700635215944,3511,grn_regression_prediction
PPARG,MXRA5,-0.0007820501467218857,0.32517631897068133,3511,grn_regression_prediction
PPARG,NAMPT,-0.0017063216947220197,1.100372040688185,3511,grn_regression_prediction
PPARG,NEAT1,0.00017274309213752032,3.496903088689288,3511,grn_regression_prediction
PPARG,OGN,0.00033612588653161813,1.1812035041619755,3511,grn_regression_prediction
PPARG,PLAU,-0.000259382335307922,0.8995059350935289,3511,grn_regression_prediction
PPARG,PLAUR,0.00012066265522239074,0.6361275833421668,3511,grn_regression_prediction
PPARG,POSTN,-9.732958205716642e-05,0.07725119068763647,3511,grn_regression_prediction
PPARG,PPARG,-0.07496330887079239,0.07496330887079239,3511,direct_knockdown
PPARG,PRSS23,0.0012815582009374977,0.5507501152317121,3511,grn_regression_prediction
PPARG,RGCC,-0.0002963881540754837,0.48280380665096895,3511,grn_regression_prediction
PPARG,RPL13,2.3682881351854842e-06,3.898562718306503,3511,grn_regression_prediction
PPARG,RPL21,6.455804849805121e-06,3.6437456056589372,3511,grn_regression_prediction
PPARG,RPL41,1.3663874083668499e-05,3.7727694358486814,3511,grn_regression_prediction
PPARG,RUNX1,-3.0408449337771206e-07,0.4009579294484707,3511,grn_regression_prediction
PPARG,RUNX2,-0.0003084784802117041,0.07547310391439782,3511,grn_regression_prediction
PPARG,S100A10,0.0006098781416543415,3.2864546744817242,3511,grn_regression_prediction
PPARG,S100A4,0.0009406417408910746,3.4343516825191482,3511,grn_regression_prediction
PPARG,SFRP2,-4.345191171408733e-05,1.0391034652934348,3511,grn_regression_prediction
PPARG,SFRP4,0.002446335210778181,1.3553016326118774,3511,grn_regression_prediction
PPARG,SMAD3,-0.00021365824716646718,0.5723380460604535,3511,grn_regression_prediction
PPARG,SOCS3,8.656132652953544e-06,1.7478125631729386,3511,grn_regression_prediction
PPARG,SPARC,0.00011624663106066843,2.0506053392896093,3511,grn_regression_prediction
PPARG,SPP1,1.8530048530752017e-07,0.004237123452887762,3511,grn_regression_prediction
PPARG,STAT3,-0.0001404381306781856,1.2415762700082627,3511,grn_regression_prediction
PPARG,TEAD1,-0.002711509450917513,0.41302701279481324,3511,grn_regression_prediction
PPARG,THBS2,-0.0001591201813669819,0.633925367723459,3511,grn_regression_prediction
PPARG,THY1,0.0006777833185297262,0.5512183416768301,3511,grn_regression_prediction
PPARG,TIMP1,0.0002606205880721118,2.6767164784340234,3511,grn_regression_prediction
PPARG,TMSB10,5.479130119979837e-06,3.4531681847617604,3511,grn_regression_prediction
PPARG,TMSB4X,6.204477327275612e-05,3.8536348371499285,3511,grn_regression_prediction
PPARG,TNC,-0.00021766507069873368,0.18763057285969734,3511,grn_regression_prediction
PPARG,TNFAIP6,-0.0002363903900791446,1.0689765964360216,3511,grn_regression_prediction
PPARG,TNFRSF12A,0.00018664661989474974,0.4029267355074711,3511,grn_regression_prediction
PPARG,TNXB,0.0012693305695787994,2.2828972803583683,3511,grn_regression_prediction
PPARG,TPM2,-0.0034077939037758264,0.5161693238132451,3511,grn_regression_prediction
PPARG,VCAM1,-0.0019352875284434274,0.22171610932544358,3511,grn_regression_prediction
PPARG,WWTR1,-0.0012926952804514663,0.528580161618155,3511,grn_regression_prediction
PPARG,YAP1,-0.00025787317697291857,0.3773965759282832,3511,grn_regression_prediction
PPARG,ZFP36,5.156361596822976e-05,2.453864426708845,3511,grn_regression_prediction
SMAD3,ABI3BP,-0.02235643378903577,1.3270707183259902,3511,grn_regression_prediction
SMAD3,ABL2,-0.02731565738181831,0.7871895942696501,3511,grn_regression_prediction
SMAD3,ACTA2,-0.024203727978793877,0.3469903672120604,3511,grn_regression_prediction
