dataset_id,module,contrast,test_level,n_wt_samples,n_comparison_samples,comparison_minus_wt,mannwhitney_u,mannwhitney_pvalue,kruskal_h_across_groups,kruskal_p_across_groups
GSE225766,DA_FAP,MDX_vs_WT,sample_mean,3,5,0.42896430434068605,15.0,0.03571428571428571,8.727272727272727,0.012732005168249957
GSE225766,DA_FAP,injury_vs_WT,sample_mean,3,3,0.20744641868910596,9.0,0.1,8.727272727272727,0.012732005168249957
GSE225766,adipogenic,MDX_vs_WT,sample_mean,3,5,0.0669347435784953,15.0,0.03571428571428571,8.727272727272727,0.012732005168249957
GSE225766,adipogenic,injury_vs_WT,sample_mean,3,3,-0.07032946794083175,0.0,0.1,8.727272727272727,0.012732005168249957
GSE225766,fibrotic_ecm,MDX_vs_WT,sample_mean,3,5,0.6347441849949746,15.0,0.03571428571428571,6.775757575757574,0.03378025604403682
GSE225766,fibrotic_ecm,injury_vs_WT,sample_mean,3,3,0.16778762113348236,6.0,0.7,6.775757575757574,0.03378025604403682
GSE225766,inflammatory_remodeling,MDX_vs_WT,sample_mean,3,5,0.3333759521319172,15.0,0.03571428571428571,6.109090909090909,0.04714414505764721
GSE225766,inflammatory_remodeling,injury_vs_WT,sample_mean,3,3,0.3115027613037291,9.0,0.1,6.109090909090909,0.04714414505764721
GSE225766,fap_stromal,MDX_vs_WT,sample_mean,3,5,0.46929821006880496,15.0,0.03571428571428571,7.515151515151516,0.02334025428013473
GSE225766,fap_stromal,injury_vs_WT,sample_mean,3,3,-0.02591730241172452,4.0,1.0,7.515151515151516,0.02334025428013473
GSE225766,macrophage,MDX_vs_WT,sample_mean,3,5,1.0555911945154006,15.0,0.03571428571428571,6.012121212121215,0.04948624107822651
GSE225766,macrophage,injury_vs_WT,sample_mean,3,3,0.9268969452996326,9.0,0.1,6.012121212121215,0.04948624107822651
GSE225766,atrophic_muscle,MDX_vs_WT,sample_mean,3,5,-0.12060497566497835,0.0,0.03571428571428571,7.515151515151516,0.02334025428013473
GSE225766,atrophic_muscle,injury_vs_WT,sample_mean,3,3,0.008577517307275767,5.0,1.0,7.515151515151516,0.02334025428013473
GSE225766,myofiber,MDX_vs_WT,sample_mean,3,5,-0.22293345559718958,0.0,0.03571428571428571,8.727272727272727,0.012732005168249957
GSE225766,myofiber,injury_vs_WT,sample_mean,3,3,-0.960113464147448,0.0,0.1,8.727272727272727,0.012732005168249957
