analysis,removed,n_iterations,spearman_with_original_da_score,top_quartile_overlap,genes_used
all_modules_recomputed,none,1,0.8133800841347721,0.7429236653916514,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
drop_module,adipogenic,1,0.6750675057501767,0.6029602527856311,COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2;IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
drop_module,fibrotic_ecm,1,0.6473690155697149,0.6677532013969733,PPARG;CEBPA;FABP4;LPL;CD36;IL6;CCL2;CXCL12;CXCL14;ICAM1;VCAM1;SPP1;MMP2;MMP14;TIMP1
drop_module,inflammatory_remodeling,1,0.6728164474436936,0.6463329452852153,PPARG;CEBPA;FABP4;LPL;CD36;COL1A1;COL3A1;COL6A1;FN1;POSTN;TNC;THBS2;LOX;ACTA2
bootstrap_80pct_genes,iteration_1,100,0.7317194858331489,0.7007483785132214,CD36;CEBPA;FABP4;LPL;ACTA2;COL1A1;COL6A1;FN1;LOX;POSTN;THBS2;TNC;CCL2;CXCL14;ICAM1;IL6;MMP14;MMP2;SPP1;TIMP1
bootstrap_80pct_genes,iteration_2,100,0.7963929313754936,0.7334774654914352,CD36;CEBPA;FABP4;LPL;ACTA2;COL1A1;COL3A1;COL6A1;LOX;POSTN;THBS2;TNC;CCL2;CXCL12;CXCL14;ICAM1;IL6;SPP1;TIMP1;VCAM1
bootstrap_80pct_genes,iteration_3,100,0.7189408573127366,0.6354232496258108,CD36;CEBPA;LPL;PPARG;ACTA2;COL3A1;COL6A1;FN1;LOX;POSTN;THBS2;TNC;CCL2;CXCL12;CXCL14;MMP14;MMP2;SPP1;TIMP1;VCAM1
bootstrap_80pct_genes,iteration_4,100,0.7541602595148535,0.6802594378845834,CD36;CEBPA;LPL;PPARG;ACTA2;COL1A1;COL6A1;FN1;LOX;POSTN;THBS2;TNC;CCL2;CXCL12;CXCL14;IL6;MMP14;SPP1;TIMP1;VCAM1
bootstrap_80pct_genes,iteration_5,100,0.7829259133743867,0.7152502910360885,CD36;CEBPA;LPL;PPARG;ACTA2;COL1A1;COL3A1;COL6A1;FN1;LOX;POSTN;THBS2;CCL2;CXCL12;CXCL14;IL6;MMP14;MMP2;SPP1;TIMP1
bootstrap_80pct_genes,iteration_6,100,0.7503845042201858,0.6862464659903542,CD36;CEBPA;FABP4;PPARG;ACTA2;COL1A1;COL3A1;COL6A1;FN1;LOX;POSTN;THBS2;CXCL12;CXCL14;IL6;MMP14;MMP2;SPP1;TIMP1;VCAM1
bootstrap_80pct_genes,iteration_7,100,0.7831924582174267,0.7038084151006153,CD36;FABP4;LPL;PPARG;ACTA2;COL3A1;COL6A1;FN1;LOX;POSTN;THBS2;TNC;CCL2;CXCL12;CXCL14;ICAM1;IL6;SPP1;TIMP1;VCAM1
bootstrap_80pct_genes,iteration_8,100,0.8071907408717938,0.7336105105604523,CEBPA;FABP4;LPL;PPARG;ACTA2;COL1A1;COL3A1;COL6A1;FN1;LOX;THBS2;TNC;CCL2;CXCL12;CXCL14;ICAM1;IL6;SPP1;TIMP1;VCAM1
bootstrap_80pct_genes,iteration_9,100,0.7947683504192126,0.7256278064194246,CD36;CEBPA;FABP4;LPL;ACTA2;COL1A1;COL3A1;COL6A1;LOX;POSTN;THBS2;TNC;CCL2;CXCL12;CXCL14;ICAM1;IL6;MMP14;SPP1;VCAM1
bootstrap_80pct_genes,iteration_10,100,0.7611142583757871,0.6902378180608681,CEBPA;FABP4;LPL;PPARG;COL1A1;COL3A1;COL6A1;FN1;LOX;POSTN;THBS2;TNC;CCL2;CXCL12;CXCL14;MMP14;MMP2;SPP1;TIMP1;VCAM1
