regulator,observed_sensitivity,null_mean,null_p95,perm_p,perm_fdr
FOS,0.05593390074609983,0.05613642917269822,0.056768023211052836,0.688655672163918,0.918207562885224
RUNX1,0.047272367433769114,0.021442453294014216,0.02251983044912614,0.0004997501249375312,0.0009995002498750624
KLF4,0.023046539697052,0.01977959862136536,0.020190638674833096,0.0004997501249375312,0.0009995002498750624
HIF1A,0.013064381087185871,0.01022668148454222,0.010694285597108616,0.0004997501249375312,0.0009995002498750624
WWTR1,0.011084933558626811,0.009660572493391771,0.010023013304566291,0.0004997501249375312,0.0009995002498750624
YAP1,0.007666754046262631,0.007618867263904367,0.007942517202164103,0.41579210394802596,0.6324110671936759
CEBPA,0.006992087224214734,0.006928734736673995,0.007603659293350621,0.43478260869565216,0.6324110671936759
PPARG,0.004264003144081306,0.005973712878962572,0.006540388009419627,1.0,1.0
RUNX2,0.0039214727520504155,0.0023760365292485497,0.002636086730319008,0.0004997501249375312,0.0009995002498750624
TEAD1,0.0035598462997439243,0.0041150335072497,0.004289145754919489,1.0,1.0
STAT3,0.0030216513584901405,0.003400929669502342,0.0034681865384923413,1.0,1.0
SMAD3,0.001227360625747179,0.0014850018907982788,0.0015383818088073613,1.0,1.0
KLF5,0.00016653630999813448,0.0001491871922155303,0.00016038909460558152,0.004997501249375313,0.008884446665556111
FOXO1,-0.004297483610466452,-0.005858831835546755,-0.005684611914443114,0.0004997501249375312,0.0009995002498750624
JUN,-0.007335495193895938,-0.008447504459092538,-0.008360601033408016,0.0004997501249375312,0.0009995002498750624
FOXO3,-0.017361131122652727,-0.02507148298218463,-0.02462006040548045,0.0004997501249375312,0.0009995002498750624
