regulator,delta_program,delta_adip,delta_ecm,delta_infl,sensitivity,type,summary_metric,summary_value
PPARG,-0.0039633713801709,-0.0126574352068186,0.0030420280634719,-0.0022747069971661,0.0039633713801709,regulator,,
SMAD3,-0.000997398904804,0.000476793871979,-0.0150015476709084,0.011532557084517,0.000997398904804,regulator,,
STAT3,0.000692201451752,-0.0051872144006116,0.0142984029771309,-0.0070345842212629,-0.000692201451752,regulator,,
CEBPA,-0.0061814362129542,-0.0173050567205831,0.0029454581251086,-0.0041847100433883,0.0061814362129542,regulator,,
JUN,0.0087480528420398,-0.0122225920901877,-0.0136362864069578,0.0521030370232649,-0.0087480528420398,regulator,,
FOS,-0.0397574058255863,-0.0048656027725509,-0.0467102489622449,-0.0676963657419632,0.0397574058255863,regulator,,
KLF4,-0.016106252643904,0.0019615803555259,-0.0548652129814016,0.0045848746941635,0.016106252643904,regulator,,
KLF5,0.0014229204324474,-0.0017539260417903,0.0056729579866677,0.0003497293524649,-0.0014229204324474,regulator,,
RUNX1,-0.038498139716958,0.0025321740795437,-0.0548120895446797,-0.063214503685738,0.038498139716958,regulator,,
RUNX2,-0.0031518957643483,-0.001099120979725,-0.0035572663894071,-0.0047992999239129,0.0031518957643483,regulator,,
FOXO1,0.0049426253080364,-0.0008473112729419,0.0008582121589492,0.0148169750381021,-0.0049426253080364,regulator,,
FOXO3,0.018376920108067,-0.0021326919301219,0.05826510924354,-0.001001656989217,-0.018376920108067,regulator,,
HIF1A,-0.0101257310873146,-0.0016403199922179,-0.0168994809658085,-0.0118373923039174,0.0101257310873146,regulator,,
TEAD1,-0.0030021242797962,-0.0010227568928193,-0.0150786880126275,0.007095072066058,0.0030021242797962,regulator,,
YAP1,-0.0056047111596249,-0.0017509113772356,-0.0156663582869083,0.0006031361852691,0.0056047111596249,regulator,,
WWTR1,-0.0083876451891934,-0.0012373646956416,-0.0183163733774513,-0.0056091974944874,0.0083876451891934,regulator,,
CD83,-0.0018538126914209,-9.7160516465456e-05,-0.001312972673662,-0.0041513048841354,0.0018538126914209,matched_control,,
TIPARP,-0.0092914327092452,-8.286887317142326e-05,-0.0231642928189787,-0.0046271364355855,0.0092914327092452,matched_control,,
EIF5A,-0.0033115491540583,0.0055473658138744,-0.0040967365832411,-0.0113852766928084,0.0033115491540583,matched_control,,
ZBTB45,-0.0010092315383248,-0.0005516207635107,-0.0015921296299589,-0.0008839442215048,0.0010092315383248,matched_control,,
CEBPD,-0.0177285287217816,-0.0100277077757971,0.1385415159501718,-0.1816993943397195,0.0177285287217816,matched_control,,
S100A13,-0.0015768205943134,0.0222647338852793,0.0203974584232463,-0.0473926540914659,0.0015768205943134,matched_control,,
UBXN1,0.0177352060411751,-0.0005046753135947,0.0409603628341285,0.0127499306029917,-0.0177352060411751,matched_control,,
RMDN2,-0.0006202782399935,-0.0007927777064846,-0.0003861874174666,-0.0006818695960294,0.0006202782399935,matched_control,,
MPDU1,-0.0013546406106773,-7.032922261815539e-05,-0.0047183643935931,0.0007247717841794,0.0013546406106773,matched_control,,
PSPH,-0.0034591952314299,-0.0010523403514703,-0.0092294929261427,-9.57524166768472e-05,0.0034591952314299,matched_control,,
BAG3,-0.0081005876138566,0.0013423433694185,-0.0052259593872139,-0.0204181468237744,0.0081005876138566,matched_control,,
IGFBP4,-0.0440725687388686,-0.0054856945603483,-0.05232277388755,-0.0744092377687075,0.0440725687388686,matched_control,,
COMMD8,-0.0024647343979736,-0.0001639127937369,-0.0104378880801736,0.0032075976799895,0.0024647343979736,matched_control,,
MSX1,-0.0068165544315268,-0.0028579263522903,-0.0159265635919542,-0.0016651733503359,0.0068165544315268,matched_control,,
TSC22D2,-0.0199211931502976,-0.0014367689685163,-0.0406874915031416,-0.0176393189792351,0.0199211931502976,matched_control,,
GPC3,-0.0197456394580426,-0.0058591716763774,0.0026473668366329,-0.0560251135343833,0.0197456394580426,matched_control,,
,,,,,,summary,matched_control_95th_percentile_sensitivity,0.02595903704744035
