major_cell_type,n_cells,mean_score_myonuclei_muscle_fiber,mean_score_satellite_cell,mean_score_fap_stromal,mean_score_endothelial,mean_score_smooth_muscle_pericyte,mean_score_macrophage_monocyte,mean_score_t_cell,mean_score_b_cell,mean_score_schwann_cell,mean_score_adipocyte
adipocyte,5870,-0.7467219670608282,0.004299773612457311,-0.08311531826399354,0.8853623273195975,0.300434231484712,-0.018127917953154736,-0.09401200653898868,0.013449330349564722,-0.027740667100539754,2.133147447889117
b_cell,2087,-1.0104388613404953,-0.062372943502290897,-0.5021097659511953,-0.10353785230065958,-0.15759181091340485,-0.05946461177622048,-0.08986266164364277,1.435294266753829,-0.021345289549267333,-0.19776467613604562
endothelial,1571,-0.7528758350469261,0.02297756139313045,-0.1538109172204176,1.5191854187235234,0.04196675273742918,-0.07206108177284436,-0.1262098044444512,0.000542668342466711,-0.04580675208515569,0.7688294400302894
fap_stromal,30065,-1.0953871945056521,-0.011099580392462935,0.8595286540930576,-0.10479966520753249,0.09939096017691178,-0.08327040439161425,-0.18625019965238127,-0.04305483104285464,-0.011650787077090271,-0.22574224567677895
macrophage_monocyte,9720,-1.0581799476066773,-0.06016809012818181,-0.4679074791281547,-0.10744754179086377,-0.16356517937320952,0.8775015816897381,-0.144669191043658,-0.03165386124042416,-0.02014627058316374,-0.16929417910771644
myonuclei_muscle_fiber,54077,2.3725150765809295,-0.018727694388443007,-0.1679410597341608,-0.04320771997446507,-0.040024750758707865,-0.0850986919642082,-0.09434582010065155,-0.02598010517910017,-0.0193945548704608,-0.07047563029761429
satellite_cell,2537,-0.914246243941038,1.0331306357172698,-0.24504743793791994,-0.0140085433898819,-0.011265533429383657,0.3322470089281486,-0.12523934671142434,-0.032599679309496934,-0.03309009328915432,-0.07394800069471487
schwann_cell,1126,-1.1165515848799723,-0.05693502319980894,-0.4398724959952874,-0.09945293321510533,-0.1030158132043885,0.02203178383584926,-0.09356815335688275,-0.04264279298067529,1.7794784491285809,0.22067187851083406
smooth_muscle_pericyte,2946,-0.7461373819403166,-0.038173526539018426,0.048553095759202816,0.04459478692139707,1.5811793118641868,-0.08123739148270565,-0.12273020684404812,-0.03637755566020494,-0.022522775637950906,0.4942197189580443
t_cell,10116,-1.1259034634370313,-0.054665768085303684,-0.4599762040934203,-0.09374123678717033,-0.19955053208461018,-0.05784956468688999,1.4009856109615033,0.028568482385519355,-0.011688539442628949,-0.19109184269237584
unassigned,1405,-0.6744832137080767,-0.0405109447706654,-0.28864008399262203,-0.07908675711125962,-0.1416194483606612,-0.07863224839723516,-0.10929506917790333,-0.032079046934910115,-0.017280834590915426,-0.14666667766451258
